Sn,Date,Reviews,Refund,Serial,Sales
13346,30-May-18,"There's a reason most people dread going to a car dealership. Imagine you negotiate a deal, come to an agreement, and then afterward the seller changes the deal and tries to charge you more. That's the system in place at this dealership.

I worked with a salesperson named Manny Avendano, who was pretty easy to work with, and we negotiated a fair deal to purchase a used car and for a trade-in.

When we moved to the finance office and talked with Don Vuong, that's when things went south. There were $509 in total fees added to the purchase contract that were completely ridiculous. 

1. $250 'insurance fee' that gives the right to return the car within 48 hours for a refund. This is ridiculous. There's no way this is a real insurance program that is underwritten by an independent third party; this is simply the dealership adding pure profit to the deal on the back end, and changing the terms of the purchase price through a deceptive add-on. Don insisted that this is a required part of the purchase contract, standard on all deals this dealership makes, and could not be removed.

2.  $179 NitroFill 5 year subscription. This is a standard add-on also, which pays for nitrogen in your tires and 5 years of roadside assistance. Of course, there's no good way to evaluate whether this program is any good while you're sitting there in the finance office, but between my auto insurance and a AAA membership, this is completely unnecessary. It was a xxxx of a fight and probably a half hour of arguing, but i did get this removed from the purchase contract. At first, Don insisted that this is standard requirement and could not be removed, but in the end he was easily able to delete it from the contract in two seconds.

3. $80 document processing fee. Every dealership charges a doc fee, and it's usually around this cost range. It's a BS fee that I've never had successfully removed from a purchase contract. But there it is, now you know how much this dealership charges. Keep in mind that all the docs are processed electronically. What is this $80 for? Software subscription? Am i paying for the labor hours for the finance manager? This is paying for dealership overhead, not my problem, bake it into the car's price.

tl;dr  Negotiated a deal with sales person and was happy. Then got to finance office and was hit with $509 more in fees the sales person didn't mention and were not part of the price we discussed.",0,1,271
14408,13-Sep-17,"I initially gave them 5 stars, but they messed up BIG. Unfortunately, the service contract that I purchased was misrepresented to me by Michael ""B -something- ian"" in the Finance Department and I had to edit my review. The service contract was supposed to cover the cost of all my oil changes and when I took it in for service I had to pay roughly $56 to get the service completed and get my car back. The service plan cost me $1,300 at Orange Coast ($56 (14) + 1300 = $2084). So let me break down the numbers, $56 multiplied by 14 -oil changes- on top of the $1300 I paid for the service plan. Compare $2084 at Orange Coast to $585 at Glenn E. Thomas. I have canceled my service contract through Orange Coast and will repurchase it through Glenn E. Thomas Jeep in Long Beach (Cherry/Spring off 405) which is only a couple miles from where I live and well worth the drive for an estimated savings of $1,500. The service plan only costs $585 for my vehicle at Glenn E. Thomas Jeep and it covers synthetic 100%; about 25% of the cost of doing business through Orange Coast Jeep. I will never do business with Orange Coast again. They rip you off with a smile. Orange Coast Jeep sold me a service contract that only covered conventional oil when my vehicle requires synthetic at $1,300 which I cancelled and then repurchased at Glenn E. Thomas for $585 that covers synthetic. If you experienced this, you can go into any Jeep location as I did and cancel then repurchase a contract somewhere else. They lost my business for life. If they tell you they don't handle cancellations that's misleading because I called Mopar and that's the guidance I received and when I went in and explained everything to another dealer they were happy to cancel their contract when I clearly expressed that I would repurchase it once it cleared. I was sent a check pretty quick for the refund. They messed up because this post will have an immeasurable impact on their sales. You don't do that to individuals that work hard for what they have. Shame on your team!",0,2,-1
14425,09-May-17,"I bought a 2016 Jeep Renegade in September 2016, car has been in service four times. Once for 2 weeks, even though they have provided me with a loaner car and a 1 month refund payment, I've never had a bad customer service like this before. While the car was in service I never received a call back from several voicemail's I left for service department, there was no update and no emails until the second week the car was at the dealer. Good luck trying to get a hold of someone at Service. I will make sure my small circle of friends and family never buy a car from Orange Coast Chrysler Jeep Dodge. ",0,2,-1
18144,06-Oct-17,"Warning double check their work.. I took my car for oil change and tire rotation. Oil change may have been done but the tire rotation was not.  My back rear tire had a red stamp on it from a valet.. the red stamp was still on my back rear tire when I picked it up. I had to call and speak with a service manager, Phan, he refunded my money,  but never offered anything else, had to make 2 trips there. Not to mention the rude customer in the waiting area, playing her phone very loud, when I asked her to turn it down a verbal exchange ensued, at no time did a Honda employee come over to calm the situation. Never going back, should have listened to the warnings about this place, everyone said to stay away, now I guess I will listen.. STAY AWAY!!! NEVER..NEVER going back.",0,2,28
22790,22-Nov-16,"I am totally dissatisfied with WIN Hyundai.  I purchased my Hyundai Sonata SE on October 31, 2016 and as of today, November 21, 2016, I still have not received my cargo net for my trunk that I paid for on October 31, 2016.  I sent an e-mail message over one week ago to again inquire about this item and the representative I dealt with the day of the purchase has not returned my e-mail with a status on my item.  I want this item immediately or I will insist on a refund.",0,2,-1
29097,14-Feb-16,"This dealership will take fully advantage of you. Why would the sales manager ""John"" and the finance guy throw in a 1300 service contract on my vehicle for a power train warranty ( they made it seem like it was free and they were doing me a favor) when my car was already covered with it!!! And on top of me calling the finance manager out on his xxxxxxxx, he tried to tell me I needed that OPTIONAL warranty In order to get approval from the bank, he even told me he will take my car back if I tried to cancel the warranty. The warranty is fully refundable within 60 days. Complete lies when everything is in the contract. I wouldn't be surprised if they gave me a higher interest rate just to make more money off it it. ( dealers do that, research it) , if they can do this type of lying for a used 8k car , please do not trust them with a 20k car, my payments are higher because of this warranty and even if it's refunded the refund is applied to the principle of my loan, which will not make my payments go down. I will advise everyone to get a preapproval from another bank/credit union. Oh yea I forgot to mention when I came to the finance manager to cancel it within 20 minutes of dealing with me he let multiple customers cut in front of me which had me waiting 3hrs and I left without even getting it cancelled, now I have to cancel it VIA mail. ",0,2,-1
29973,30-Jun-18,I usually never have any issues but with this previous oil change I was not thrilled. I was charged for a tire rotation that never happened.  I noticed that my tires were not rotated and told Chris the guy who was doing the paperwork and he laughed at me in which I found very unprofessional. Then the mechanic was called and he stated that there was no rotation that was preformed on the vehicle and noted that. So I was able to get a refund,0,2,-1
32488,13-Sep-17,"I initially gave them 5 stars, but they messed up BIG. Unfortunately, the service contract that I purchased was misrepresented to me by Michael ""B -something- ian"" in the Finance Department and I had to edit my review. The service contract was supposed to cover the cost of all my oil changes and when I took it in for service I had to pay roughly $56 to get the service completed and get my car back. The service plan cost me $1,300 at Orange Coast ($56 (14) + 1300 = $2084). So let me break down the numbers, $56 multiplied by 14 -oil changes- on top of the $1300 I paid for the service plan. Compare $2084 at Orange Coast to $585 at Glenn E. Thomas. I have canceled my service contract through Orange Coast and will repurchase it through Glenn E. Thomas Jeep in Long Beach (Cherry/Spring off 405) which is only a couple miles from where I live and well worth the drive for an estimated savings of $1,500. The service plan only costs $585 for my vehicle at Glenn E. Thomas Jeep and it covers synthetic 100%; about 25% of the cost of doing business through Orange Coast Jeep. I will never do business with Orange Coast again. They rip you off with a smile. Orange Coast Jeep sold me a service contract that only covered conventional oil when my vehicle requires synthetic at $1,300 which I cancelled and then repurchased at Glenn E. Thomas for $585 that covers synthetic. If you experienced this, you can go into any Jeep location as I did and cancel then repurchase a contract somewhere else. They lost my business for life. If they tell you they don't handle cancellations that's misleading because I called Mopar and that's the guidance I received and when I went in and explained everything to another dealer they were happy to cancel their contract when I clearly expressed that I would repurchase it once it cleared. I was sent a check pretty quick for the refund. They messed up because this post will have an immeasurable impact on their sales. You don't do that to individuals that work hard for what they have. Shame on your team!",0,2,-1
32505,09-May-17,"I bought a 2016 Jeep Renegade in September 2016, car has been in service four times. Once for 2 weeks, even though they have provided me with a loaner car and a 1 month refund payment, I've never had a bad customer service like this before. While the car was in service I never received a call back from several voicemail's I left for service department, there was no update and no emails until the second week the car was at the dealer. Good luck trying to get a hold of someone at Service. I will make sure my small circle of friends and family never buy a car from Orange Coast Chrysler Jeep Dodge. ",0,2,-1
33296,31-May-18,"After 3 weeks with a new 18 ram I couldn't drive due to their finance Dept incompetence and no return calls or messages, I returned the truck after consulting there bank and the division at Chrysler.   They were missing paperwork so we couldn't license or insure or new purchase.  We ended up returning the ram for a full refund after almost a month wasted.   Crap dealership, don't waste your time trying to save here, it doesn't pay off!!",0,2,259
33298,30-May-18,"There's a reason most people dread going to a car dealership. Imagine you negotiate a deal, come to an agreement, and then afterward the seller changes the deal and tries to charge you more. That's the system in place at this dealership.

I worked with a salesperson named Manny Avendano, who was pretty easy to work with, and we negotiated a fair deal to purchase a used car and for a trade-in.

When we moved to the finance office and talked with Don Vuong, that's when things went south. There were $509 in total fees added to the purchase contract that were completely ridiculous. 

1. $250 'insurance fee' that gives the right to return the car within 48 hours for a refund. This is ridiculous. There's no way this is a real insurance program that is underwritten by an independent third party; this is simply the dealership adding pure profit to the deal on the back end, and changing the terms of the purchase price through a deceptive add-on. Don insisted that this is a required part of the purchase contract, standard on all deals this dealership makes, and could not be removed.

2.  $179 NitroFill 5 year subscription. This is a standard add-on also, which pays for nitrogen in your tires and 5 years of roadside assistance. Of course, there's no good way to evaluate whether this program is any good while you're sitting there in the finance office, but between my auto insurance and a AAA membership, this is completely unnecessary. It was a xxxx of a fight and probably a half hour of arguing, but i did get this removed from the purchase contract. At first, Don insisted that this is standard requirement and could not be removed, but in the end he was easily able to delete it from the contract in two seconds.

3. $80 document processing fee. Every dealership charges a doc fee, and it's usually around this cost range. It's a BS fee that I've never had successfully removed from a purchase contract. But there it is, now you know how much this dealership charges. Keep in mind that all the docs are processed electronically. What is this $80 for? Software subscription? Am i paying for the labor hours for the finance manager? This is paying for dealership overhead, not my problem, bake it into the car's price.

tl;dr  Negotiated a deal with sales person and was happy. Then got to finance office and was hit with $509 more in fees the sales person didn't mention and were not part of the price we discussed.",0,2,216
47097,29-Jun-17,"Received a quote in writing and put a deposit of $500/-. with a 6 to 8 weeks waiting period for a Ford Fusion Energi.  On completion of 6 weeks, called the dealership several times without any answer. Finally when I visited the dealership was told it would to take another 6-to 8 weeks.  However when asked for a refund, the General Manager found a vehicle matching my specs and trim with a promise it would be there within two days. Went to take delivery  of the vehicle and everything was as smooth as can be. Started signing the paperwork and suddenly noticed that the price for the 
buyout was not the same as the written quote.  The finance guy told me the price was from Ford Motor Company which was lie since I had already spoken to Ford Motor Co.   If a written quote which I have in my position cannot be honored, how do we trust a dealership to do the right thing after accepting delivery of the vehicle.
",0,2,886
51807,13-Sep-17,"I initially gave them 5 stars, but they messed up BIG. Unfortunately, the service contract that I purchased was misrepresented to me by Michael ""B -something- ian"" in the Finance Department and I had to edit my review. The service contract was supposed to cover the cost of all my oil changes and when I took it in for service I had to pay roughly $56 to get the service completed and get my car back. The service plan cost me $1,300 at Orange Coast ($56 (14) + 1300 = $2084). So let me break down the numbers, $56 multiplied by 14 -oil changes- on top of the $1300 I paid for the service plan. Compare $2084 at Orange Coast to $585 at Glenn E. Thomas. I have canceled my service contract through Orange Coast and will repurchase it through Glenn E. Thomas Jeep in Long Beach (Cherry/Spring off 405) which is only a couple miles from where I live and well worth the drive for an estimated savings of $1,500. The service plan only costs $585 for my vehicle at Glenn E. Thomas Jeep and it covers synthetic 100%; about 25% of the cost of doing business through Orange Coast Jeep. I will never do business with Orange Coast again. They rip you off with a smile. Orange Coast Jeep sold me a service contract that only covered conventional oil when my vehicle requires synthetic at $1,300 which I cancelled and then repurchased at Glenn E. Thomas for $585 that covers synthetic. If you experienced this, you can go into any Jeep location as I did and cancel then repurchase a contract somewhere else. They lost my business for life. If they tell you they don't handle cancellations that's misleading because I called Mopar and that's the guidance I received and when I went in and explained everything to another dealer they were happy to cancel their contract when I clearly expressed that I would repurchase it once it cleared. I was sent a check pretty quick for the refund. They messed up because this post will have an immeasurable impact on their sales. You don't do that to individuals that work hard for what they have. Shame on your team!",0,2,19
51824,09-May-17,"I bought a 2016 Jeep Renegade in September 2016, car has been in service four times. Once for 2 weeks, even though they have provided me with a loaner car and a 1 month refund payment, I've never had a bad customer service like this before. While the car was in service I never received a call back from several voicemail's I left for service department, there was no update and no emails until the second week the car was at the dealer. Good luck trying to get a hold of someone at Service. I will make sure my small circle of friends and family never buy a car from Orange Coast Chrysler Jeep Dodge. ",0,2,156
52616,31-May-18,"After 3 weeks with a new 18 ram I couldn't drive due to their finance Dept incompetence and no return calls or messages, I returned the truck after consulting there bank and the division at Chrysler.   They were missing paperwork so we couldn't license or insure or new purchase.  We ended up returning the ram for a full refund after almost a month wasted.   Crap dealership, don't waste your time trying to save here, it doesn't pay off!!",0,2,1365
52618,30-May-18,"There's a reason most people dread going to a car dealership. Imagine you negotiate a deal, come to an agreement, and then afterward the seller changes the deal and tries to charge you more. That's the system in place at this dealership.

I worked with a salesperson named Manny Avendano, who was pretty easy to work with, and we negotiated a fair deal to purchase a used car and for a trade-in.

When we moved to the finance office and talked with Don Vuong, that's when things went south. There were $509 in total fees added to the purchase contract that were completely ridiculous. 

1. $250 'insurance fee' that gives the right to return the car within 48 hours for a refund. This is ridiculous. There's no way this is a real insurance program that is underwritten by an independent third party; this is simply the dealership adding pure profit to the deal on the back end, and changing the terms of the purchase price through a deceptive add-on. Don insisted that this is a required part of the purchase contract, standard on all deals this dealership makes, and could not be removed.

2.  $179 NitroFill 5 year subscription. This is a standard add-on also, which pays for nitrogen in your tires and 5 years of roadside assistance. Of course, there's no good way to evaluate whether this program is any good while you're sitting there in the finance office, but between my auto insurance and a AAA membership, this is completely unnecessary. It was a xxxx of a fight and probably a half hour of arguing, but i did get this removed from the purchase contract. At first, Don insisted that this is standard requirement and could not be removed, but in the end he was easily able to delete it from the contract in two seconds.

3. $80 document processing fee. Every dealership charges a doc fee, and it's usually around this cost range. It's a BS fee that I've never had successfully removed from a purchase contract. But there it is, now you know how much this dealership charges. Keep in mind that all the docs are processed electronically. What is this $80 for? Software subscription? Am i paying for the labor hours for the finance manager? This is paying for dealership overhead, not my problem, bake it into the car's price.

tl;dr  Negotiated a deal with sales person and was happy. Then got to finance office and was hit with $509 more in fees the sales person didn't mention and were not part of the price we discussed.",0,3,-1
54933,19-Jan-15,"This is a review of the parts department.  I purchased my 2014 Toyota Avalon in November.  Costco offers a 50% coupon off parts and/or service up to $200 for going through them.  When I attempted to use this coupon in December to purchase illuminated door sills I was refused.   I was told by the parts manager they since they are running a 20% off parts I could not use the coupon (although the coupon clearly states you simply cannot COMBINE discounts).  I was told to return in January.  Today I went in again.  The 20% sign was still up and I imagine it is always there.  Again there was a lot of time spent verifying the coupon.  After checking with a manager I was then told the price of the part had gone up and they would ONLY charge me $200.00.  That, of course, would mean this item retails for $400.00.  I questioned them but in the end decided to purchase the item.  Then I was directed to the service department to get a price for installation.  After someone chasing after about five different people I was quoted $390.00 for installation only.  REALLY!!!   After leaving I quickly called Thousand Oaks Toyota.  They quoted the part at $299.00 which I later determined is the retail price for this item.  They also quoted me $125.00 for install.  Let's see ... that is $175.00 LESS than DCH quoted me with my coupon.  This is nothing more than a scam and a rip off.  I returned to DCH, cancelled my order and got a refund.  I advised them to never go into their lunch room and start complaining about government dishonesty and being ripped off because DCH contributes to the same culture that creates angry, disgruntled citizens by their dishonesty.  I came home.  Purchased the part on line for $245.00 with shipping and will have a body shop install it.  I don't care if I paid more because I would never give DCH the satisfaction of getting any money from me in this manner.
Recommendation.  yeah...don't buy parts from DCH.  Shop around, dealers, body shops, on line, anywhere but DCH.  And if this is indicative of the dealership I guess you need to be very careful of your purchases and service as well.  Such a shame that people continue to make decisions to work for dishonest companies thinking saying I'm sorry covers it all.  Uh huh, sorry you got nailed no doubt.  Things will never change until people stand up and refuse to accept it or perpetuate dishonesty.",0,3,13
66543,30-May-14,"I bought my new Toyota Highlander at the end of December. I waited to review this dealership because I wanted to be fair and hopefully my attitude towards them changed. It has not. First, for the last 2 years, my 2008 Highlander Hybrid limited had been having problems with the gas tank (won't fill up) then the braking system was malfunctioning. After numerous attempts to repair & thousands of dollars spent, the vehicle still wasn't repaired. Refunds were not issued in hopes to ""eventually"" figure out the problems & repair them. The braking system went out on a weekend evening, leaving me & my children stranded. We had the vehicle towed to Carlsbad. 

I requested the Sales Team & Services department work together because of all of the problems I had over the last 2 years. They did not accommodate. They knew ""they had me"" because my vehicle was in the shop. It was not worth repairing. The sales team wouldn't budge in price; I had to show them vehicles at Mossy to get them to budge. Moreover, once we had finally made a deal, I requested new car mats to be included, that was denied, and they wanted $200 for my old car mats. They ended up reducing the value of my car because I refused to pay for more all weather mats, a cargo net and my surf racks (that I already owned!). When I was transferring my 6 year old car mats over to my brand new Highlander, I requested my old car mats be sprayed off. The salesman looked at me like I was crazy-why should I even have to ask to have dirty old all weather car mats sprayed off before I put them in a brand new $37,000 vehicle? I was shocked that I would even have to ask this! I had to threaten to walk away from the entire deal, have my car towed elsewhere (Mossy) just to have clean car mats. They finally sprayed off my mats. 

Since purchasing my vehicle, I have been working with Mossy, and they have given me excellent customer service. They have taken excellent care of my vehicle. I regret not towing my vehicle & just working w/Mossy. Lesson learned. ",0,3,53
4568,14-Nov-13,"Tried to order the 2014 BMW X5. The most prevalent mistake was that the sales manager made a mistake on interior color in entering the order which we pointed out and even called BMW North America to point out the mistake. Unfortunately, the mistake was never corrected and we had to cancel the order. Although the dealership says they have refunded our deposit, they have not. Other areas of poor customer service included: very poor communication and lack of appropriate paper work despite repeated attempts by my husband and I to facilitate good communication and to get the appropriate paper work. We have bought/leased 6 BMWs in the last 9 years from 4 different dealerships and have never had such poor customer service and follow-through. We will purchase our car somewhere else.

Subsequent to the above review, I have received my deposit back.",1,3,271
4752,03-Feb-11,"A few months ago, i was interested in buying a m3. 

philip was very professional about everything. everything he says sounds very good, but sneaky and shady people are very good at doing that. i asked him about putting a deposit on a m3, and he said that people dont need to put a deposit down. then i mentioned that i wanted a stripped down very lightly optioned m3 in silverstone II exterior, which is a m exclusive color that is very hard to sell and wildly unpopular. but i like to the color because its a silver with a bit of chrome blue in it, and is perfect for such a sporty car. anyways, so after he found out that i wanted a stripped down m3, he said that he would need a 5 thousand dollar deposit. i was FLOORED! one second he says i dont need to put down a deposit, the next he says he needs 5 thousand. i was speechless. on top of that, all other bmw dealerships only need 1-2 grand to place an order. then i asked if the deposit was refundable. he said no. well, according to california state law, ALL deposits are refundable and I politely reminded him of that law. he then said that the 5 thousand deposit was not a deposit, but actually future payments on the car. wow, he lied right to my face. ive never seen a salesmen create such bullshit so fast in my life. no other dealership in the entire united states does that. to this day, im still astounded that they are capable of this kind of chicanery and deception of this caliber. 

if you are interested in buying a bmw, especially a m car, i would run. these people lie and will try to cheat every penny out of you. here is some advice for people buying a bmw: only pay 500 over invoice, regardless of the model of the car. it doesnt matter if its a m3 or a 328i. a fair dealership will give you that price or lower. dont let someone tell you that they cant give you a better price because you are buying a m car. that simply is not the case. head on over to other dealerships like steve thomas. anywhere is better than here. hell, a crackdealer in compton will give you a straighter deal on a m3 than south bay bmw.

philip khan is also very cocky. he told me to google him on a few bmw forums. well, duh, im on them. thats how i found out about him. he got some gave rave reviews, and others not so. Many say that he is the best south bay has to offer. but after dealing with him, i can say without a guilty conscience that he is a snake in the grass. He appears very nice, respect, mild mannered, and polite, but don’t let that trick you. behind that mask is a dirty salesman trying to squeeze the most money out of you in the dirtiest fashion.  I first checked them out because they said they didn’t need a deposit on a m3, but now they want a future payment of 5 thousand before the car that didnt even hit American soil. His excuse was that they don’t need deposits on m3s that are fully loaded since they are easier to sell if I back out. Regardless, he did not mention that “policy” until after I told him I wanted a lightly optioned m3. You judge for yourself how honest they are.
",1,3,-1
