,Date,Reviews,Ratings,Serial
571,19-Dec-14,"I was looking online for a used suburban, which I found at Stonebriar Chevrolet.  As a busy business owner, my time is valuable.  So, I did my homework and went into the dealership.  I told James (the sales person) which vehicle that I wanted.  We agreed upon a price ($300 less than what was listed on the internet plus they fix the scratch on the dashboard/trim).  To make a long story short.  After we had agreed upon the price and started the paperwork, James comes back to tell me that the cosmetic fix to the dashboard would cost $150 and his sales manager didn't want to pay for it (after we already agreed upon a price and started the paperwork).  A long story short.  I agreed to pay the $75 he asked to get the scratch fixed as I had already invested too much time at the dealership.  I have to make two more vehicle purchases in 2015 and will not even consider Stonebriar.  It is not about the money.  It is about agreeing on the price and then coming back (wasting my valuable time) and trying to get another $150 out of me after an agreement was complete.  Moral of the story, $75 cost the dealership the possibility of 2 additional purchases and winning my business for life (I have to purchase at least 2 vehicles a year for my business).  But now, I am going to tell everyone I know the $75 story and not recommend Stonebriar Chevrolet to anyone.  As a matter of fact, I will go out of my way to share the story.  It is just human nature,  You have to take care of the customer.  A great lesson I will share with my sales team back at my company.  ",1,14
621,21-Feb-17,"Priced a car on internet $9,225. Drove it and Really liked it and salesman said he could do ""$8,000 out the door"". Go inside and the priced jump to $10,225. They then bring this sheet to me with a bunch of numbers with final price $9,500. Manager tried to explain that $10,225 was the starting price and the internet price was a special. No where on their little sheet did it show a $1,000 special discount. It was a lot of talk trying to get ME to understand why they do it that way. I crossed out $10,225 and wrote in $9,225 and said we'll start from there. Manager goes back and comes back with $9,000 and that's the ""lowest"" they could go. I was going to take them up on their offer to let me take it for a few hours to let my daughter drive it. The more I thought about it the more irritated  I became so I left. I then get original salesman texting me telling me they'd take $8600 even though they weren't making anything on it. So what happened to ""that's the lowest they would take"". He tells me GM was upset that salesman ""let me leave"" so they were offering me this low price just to keep my business. This is the reason I don't like buying used cars from a dealership. I told salesman I wanted their price upfront and I didn't want all the back and forth games. I guess he didn't hear that. If they  would have called and said ""$8,000 out the door"" I'd probably be driving it today. ",1,16
650,02-Jul-19,"I found a vehicle I liked and set up an appointment. Drove it and agreed to pay the asking price. no haggling or talking them down. When it came time to sign, they added over $4000 before TTL to the price and refused to sell the vehicle for the advertised price. It is a bait and switch. They never planned to sell it for the advertised price and were simply driving traffic to the store. Horrible. ",1,17
709,01-Mar-13,"Got a call from our salesman and told us he had what we were looking for and if we could come and see it.  I took a half day vacation and went there which was very far but he said it would be worth the trip.  I took my husband who is handicaped and it is very hard to get him around but if he had what he promised and a good deal as it is end of the month so they would be very aggressive to make us the best deal around..  When we arrived not only did he not have the vehicle he said he had but then tried to sell us another vehicle we really did not want.  He said he could get us a great deal so I asked what the price was and he would not give us a number just that they would work with us on it.  That sent some red flags because I want to know that informaion before we start serious discussions.  He never would tell us and sent in the finance man and he said it was $27,999 and then would not give us a fair price on our trade in.  When I got home I went online and looked up the vehicle and it was listed for only $23,949 so he tried to add an extra four grand to the price. Before he sent in the finance man I asked our salesman to look up the price on his smart phone and he said he could not find it listed which was a lie.  I could not beleive that they would not give us any prices on any vehicles only that they would work with us.  I feel we were brought in on false pretense and he never had the vehicle he said he did.  Did he think we would not look up the price to see if we were being treated fairly?  Very dishonest and I will never deal with that company and will advise everyone I know to stay away.  Any dealership that would try to sell a vehicle for an extra $4,000 above listed price just because you did not know that information before hand is crook.",1,17
711,20-Feb-13,"Went to buy a used truck cash in hand. After seabolt meet me out in the parking lot he said that he had some trucks in the bullpin. After picking a few truck and set on one we made a deal. The next day I go by to sign paperwork and drive the truck I was told that it couldn't leave the parking lot. Ok then they want me to pay the price of the truck in full before it was even inspected. I said i would put a 500 dollar payment and thats it. After three days they say that this truck has problems. Ok i said then i would like to cancel the deal. The gm calls and says he would call me back and doesn't. I go to the dealer and i cant get a refund until tomorrow due to the business center being close. Then the seabolt guy says to leave him the receipt and he will get it for me and i can pick it up tomorrow. Over all this was a very shady deal, they want money for a vehicle that you cant drive and then they dont want to give you your money back. Through all just a bunch of lies. I will never recommend this place to anyone and if you go there be ready to give up your money and get no service. Its is sad to know that the gm or managers dont even care on what is going on.",1,17
725,11-Jan-20,Did not honor online price.  Once in finance was charged ridiculous price for tint and vehicle locator service  ($1999 and $2400).  Would NOT recommend dealership!,1,18
731,12-Dec-19,"The sals woman, Kimberly Diaz advertised a 2019 F250 Lariat with 36k miles for $45k. I stated that the truck is listed on the website for $54k. She confirmed that the sales price is $45k for the 2019 F250 Lariat. When i requested to come in to buy she then changed the vehicle to a 2019 XLT with more miles and then stated that the sales price was $54k for the lariat. 

DO NOT DO BUSINESS HERE! PLEASE GO ELSE WHERE. THEY WILL TRY AND GET OVER ON YOU

",1,18
819,24-Dec-18,They did not give the advertised price. The internet said one price but they were not willing to start off at that price. The people were friendly but the salesperson we had an appointment with did not show up until hours later. Someone else had to help us. We were not impressed by this or the games they played with the price. We were given the wrong manual for the car but they have offered to correct this issue so that shows they are willing to correct their mistakes. ,1,18
823,14-Nov-18,"I would not recommend buying a car from here.  They mislead with low advertised prices and then tack on a bunch of nonsense fees for ""services"" you can't redeem.  The staff has a high turnover, and are very unprofessional - it seemed that every salesperson was too busy eating to work.",1,18
827,07-Nov-18,"I came to Gulfgate with my debit card out ready to purchase a vehicle.  After the test drive I was even more convinced to buy.  However, the price sheet brought back to me was roughly $3500 more than the price advertised online (which is why I came to your dealership...the advertised price).  Jaron explained the warranty that was added to the car, he also mentioned it was a way for the dealership to recoup some of the labor cost for prepping the vehicle.  After I told him I was not going to pay more than the advertised price, he got his manager.  His manager confirmed that he would not sell the car for less than the elevated warranty price.

After the director's departure, I continued discussions with Jaron, I expressed my displeasure of the bait and switch tactic.  Jaron began to tell me I was a bad consumer because if I didn't pay the elevated price I was preventing him from supporting his daughter.  This was the absolute worst sales tactic I have ever seen.

At this point I walked out of the Used Car building and went straight to NEw Car building asking for the GM.  I met a gentleman named, I believe his name was Carl, whom I explained my entire experience with.  HE left me for a minute, I assume to speak with Jaron and his team.  The GM returned and honored the advertised price.  I left with the vehicle I wanted.

I absolutely love the car.  I am less than thrilled about what I had to go through to purchase it.

I will say the Finance Manager I dealt with was very nice and very friendly.",1,18
835,04-Oct-18,"I spoke with a salesman over the phone before driving to the dealership. I was told the online price was definitely the correct sales price on the second phone call. Upon trying to close the deal, I was handed a buyers agreement that showed the price of the car 2400 more than what I was originally told plus an additional 1300 in ""ads"", which I was also never informed about. After walking out, the sales manager and salesman came out to my car to get me to come back in so they could ""attempt"" to honor their online advertised price. After another 20 minutes of wasting my time, the salesman and finance manager came to me with another buyers agreement, this time only about 1000 over what they had originally quoted me over the phone. Needless to say I didn't buy the car. No trade in, came to dealer with USAA approved financing, and somehow they couldn't honor their own printed/advertised online price!! The salesman was friendly and really easy to talk to, and I don't blame him for this. Prices are obviously generated from higher up the chain, but being told one thing and a dealer doing another, is not ok in my opinion",1,18
854,22-Aug-18,"I have been inquiring on two cars for the past week and a half I got the information and the listing price on the cars from an online site. I made a fair offer on the car. I was told my offer was to low and that the price on the car was about 5,000 more than the listing price. I asked why when it was listed for the amount 5,000 less. After that the salesman no longer responded. I then reached out to the dealership again and inquired about the same vehicle with another salesman. We workout a price and he seems willing to sell it for that amount. He then proceeds to tell me that for this specific car they are not accepting outside financing. When I had been inquiring about this car for the past week and a half. Telling the salesman I was waiting on my pre approval through my bank. Of course the not accepting outside financing was not stated then. I then proceed to wait and see what happened. I was not contacted or followed up by any of the three salesman I talked to. I clearly wanted to work out something and drive off the lot with the specific car I was inquiring about. All I got were excuses as to why I could not buy the car. I called again today and asked about the same car and added another one I was interested in. I called they gave me the listing price and told me they would call me back to work out a deal. Of course I have not been called back. Terrible business. Terrible salesman. I offered to buy the car and I was told no. Spoke to at least 5-6 people about the same car and no one was willing to even try and sell it. Basically got ignored. ",1,18
877,26-May-18,"We purchased a ‘17 Infiniti Q50.  Advertised price was $22,499. When we we sat down with the salesman, the price increased to $30k as he tried add certified cost of $5k. Told him we didn’t want that and deducted it which still increased the price by $865. Said he couldn’t remove the cost of security “etching”. Our salesman Xavian consulted with his sales manager and the sales manager became verbally assaultive towards him. We could hear the sales manager fussing at Xavian which was totally unprofessional. Xavian did his job well, but the sales manager should be fired!

  Got home to Louisiana and discovered no $865 etching. We called the finance manager, and said we need a black light to see it inside of the doors. xxx!! 

I rate this 2 stars only because Xavian did his best. If it wasn’t for him then my experience would be 0 stars. Thanks Xavian for being professional and fair!! ",1,18
881,30-Apr-18,"When I ask for a specific car they showed they had online they showed it to me but the price was about $10,000 more than what they showed it to be. The salesman said that the advertised price is a discounted price that nobody ever qualifies for. So needless to say I was right out of the door after I heard that. ",1,18
899,08-Jul-17,"I did lots of research on the VEHICLE I wanted... but I didn't do enough on the DEALER.



I purchased a 2017 Chevrolet equinox  07/06/2017 and the advertised sale price online was $19,800. When I got home, I realized the sale price on the contract said $22,800 which is $3000 above the Internet price. The next day I called the dealership and let them know why was the sale price change from $19,800 to $22,800 and they stated because there was a mandatory warranty that I had to purchase. I advised them that I didn't want that warranty and they told me it was mandatory or else they weren't going to be able to honor the Internet price. I let them know that they can't force me to purchase a warranty or service contract if I don't want to and they simply stated that it was too late I already agreed and signed the contract. I know it was my fault for not verifying the numbers on the contract but this dealership operates with deceptive practices in order to increase their profits and they hide everything from you and just make you sign really quick. By law warranties are free and service contract should be charged as a separate line item on the contract instead of increasing the sale price of the vehicle. I am in the process of filing a complaint with the OCCC, CFPB, and DMV to expose these illegal practices.",1,18
906,24-Mar-13,"Priced advertised is not price you get, also add $1995 for nitrogen, wheel locks and GPS Tracker. Total price over $4000 of what it can be purchased elsewhere. This is what gives dealerships a bad name.",1,18
1010,21-Nov-11,"This was my worst experience ever buying a car.  I have never paid msrp for a vehicle ever.  I went in asking to pay 21-22k for a 2012 new jeep wrangler.  I was clear that was all I wanted to pay and if they couldn't do that as msrp is 25k then we could save each other some time. The salesman talked to finance and they said I should go for a test drive.  When we came back the salesman had me sign a form saying that if I got my price, then I would buy that night.  I had no problem with it.  They then gave me a menu of prices.  They tried to decrease my payments over a longer period of time which would have still got them msrp or more.  I said no.

The salesman went back and forth with finance and then had me sign another form with 25k listed again.  I said why do you keep writing that number down. He said don't worry it will change later they just have to put that number down so he can get it past the owner and that isn't the price and it will change. At this point, I felt like I needed a shower as this felt like a very dirty deal.

They then trotted out more new numbers.  At this point I wasn't sure when the number would change to the 21-22k. Long story short it never did.  I think I got about 700 dollars off msrp after they claimed they are only making 350 dollars on the deal and that they had to make sure the owner didn't see the paperwork.  I don't think the owner would be that upset considering they then advertised a sales event five days later.

A complete fail and the worse experience I have ever had.  Seems like the general manager writes back on these.  Feel free to call me. Scott biondi 210 748. 2591.",1,20
1050,02-Jul-19,"I found a vehicle I liked and set up an appointment. Drove it and agreed to pay the asking price. no haggling or talking them down. When it came time to sign, they added over $4000 before TTL to the price and refused to sell the vehicle for the advertised price. It is a bait and switch. They never planned to sell it for the advertised price and were simply driving traffic to the store. Horrible. ",1,22
1109,01-Mar-13,"Got a call from our salesman and told us he had what we were looking for and if we could come and see it.  I took a half day vacation and went there which was very far but he said it would be worth the trip.  I took my husband who is handicaped and it is very hard to get him around but if he had what he promised and a good deal as it is end of the month so they would be very aggressive to make us the best deal around..  When we arrived not only did he not have the vehicle he said he had but then tried to sell us another vehicle we really did not want.  He said he could get us a great deal so I asked what the price was and he would not give us a number just that they would work with us on it.  That sent some red flags because I want to know that informaion before we start serious discussions.  He never would tell us and sent in the finance man and he said it was $27,999 and then would not give us a fair price on our trade in.  When I got home I went online and looked up the vehicle and it was listed for only $23,949 so he tried to add an extra four grand to the price. Before he sent in the finance man I asked our salesman to look up the price on his smart phone and he said he could not find it listed which was a lie.  I could not beleive that they would not give us any prices on any vehicles only that they would work with us.  I feel we were brought in on false pretense and he never had the vehicle he said he did.  Did he think we would not look up the price to see if we were being treated fairly?  Very dishonest and I will never deal with that company and will advise everyone I know to stay away.  Any dealership that would try to sell a vehicle for an extra $4,000 above listed price just because you did not know that information before hand is crook.",1,22
1111,20-Feb-13,"Went to buy a used truck cash in hand. After seabolt meet me out in the parking lot he said that he had some trucks in the bullpin. After picking a few truck and set on one we made a deal. The next day I go by to sign paperwork and drive the truck I was told that it couldn't leave the parking lot. Ok then they want me to pay the price of the truck in full before it was even inspected. I said i would put a 500 dollar payment and thats it. After three days they say that this truck has problems. Ok i said then i would like to cancel the deal. The gm calls and says he would call me back and doesn't. I go to the dealer and i cant get a refund until tomorrow due to the business center being close. Then the seabolt guy says to leave him the receipt and he will get it for me and i can pick it up tomorrow. Over all this was a very shady deal, they want money for a vehicle that you cant drive and then they dont want to give you your money back. Through all just a bunch of lies. I will never recommend this place to anyone and if you go there be ready to give up your money and get no service. Its is sad to know that the gm or managers dont even care on what is going on.",1,22
1125,11-Jan-20,Did not honor online price.  Once in finance was charged ridiculous price for tint and vehicle locator service  ($1999 and $2400).  Would NOT recommend dealership!,1,23
1131,12-Dec-19,"The sals woman, Kimberly Diaz advertised a 2019 F250 Lariat with 36k miles for $45k. I stated that the truck is listed on the website for $54k. She confirmed that the sales price is $45k for the 2019 F250 Lariat. When i requested to come in to buy she then changed the vehicle to a 2019 XLT with more miles and then stated that the sales price was $54k for the lariat. 

DO NOT DO BUSINESS HERE! PLEASE GO ELSE WHERE. THEY WILL TRY AND GET OVER ON YOU

",1,23
1219,24-Dec-18,They did not give the advertised price. The internet said one price but they were not willing to start off at that price. The people were friendly but the salesperson we had an appointment with did not show up until hours later. Someone else had to help us. We were not impressed by this or the games they played with the price. We were given the wrong manual for the car but they have offered to correct this issue so that shows they are willing to correct their mistakes. ,1,23
1223,14-Nov-18,"I would not recommend buying a car from here.  They mislead with low advertised prices and then tack on a bunch of nonsense fees for ""services"" you can't redeem.  The staff has a high turnover, and are very unprofessional - it seemed that every salesperson was too busy eating to work.",1,23
1227,07-Nov-18,"I came to Gulfgate with my debit card out ready to purchase a vehicle.  After the test drive I was even more convinced to buy.  However, the price sheet brought back to me was roughly $3500 more than the price advertised online (which is why I came to your dealership...the advertised price).  Jaron explained the warranty that was added to the car, he also mentioned it was a way for the dealership to recoup some of the labor cost for prepping the vehicle.  After I told him I was not going to pay more than the advertised price, he got his manager.  His manager confirmed that he would not sell the car for less than the elevated warranty price.

After the director's departure, I continued discussions with Jaron, I expressed my displeasure of the bait and switch tactic.  Jaron began to tell me I was a bad consumer because if I didn't pay the elevated price I was preventing him from supporting his daughter.  This was the absolute worst sales tactic I have ever seen.

At this point I walked out of the Used Car building and went straight to NEw Car building asking for the GM.  I met a gentleman named, I believe his name was Carl, whom I explained my entire experience with.  HE left me for a minute, I assume to speak with Jaron and his team.  The GM returned and honored the advertised price.  I left with the vehicle I wanted.

I absolutely love the car.  I am less than thrilled about what I had to go through to purchase it.

I will say the Finance Manager I dealt with was very nice and very friendly.",1,23
1235,04-Oct-18,"I spoke with a salesman over the phone before driving to the dealership. I was told the online price was definitely the correct sales price on the second phone call. Upon trying to close the deal, I was handed a buyers agreement that showed the price of the car 2400 more than what I was originally told plus an additional 1300 in ""ads"", which I was also never informed about. After walking out, the sales manager and salesman came out to my car to get me to come back in so they could ""attempt"" to honor their online advertised price. After another 20 minutes of wasting my time, the salesman and finance manager came to me with another buyers agreement, this time only about 1000 over what they had originally quoted me over the phone. Needless to say I didn't buy the car. No trade in, came to dealer with USAA approved financing, and somehow they couldn't honor their own printed/advertised online price!! The salesman was friendly and really easy to talk to, and I don't blame him for this. Prices are obviously generated from higher up the chain, but being told one thing and a dealer doing another, is not ok in my opinion",1,23
