,Index,Date,Reviews,Ratings,Serial,Spot Delivery,Label_APR
540,10,17-Feb-19,"This dealership has access to more technology to effectively communicate with their clients than what we used to send men to the moon, yet, somehow its management encouraging the use of sales tactics from 1995 when car buying was done through local paper magazine ads. We saw a vehicle posted for sale, called at 9:30 on Saturday morning when dealership opened and were told ""I see it in front of our office and it is current for sale"". Our drive to dealership is just under 1 hour, during which I sent a message to our sales associate 20 minutes before our arrival - to which the associated replied ""Sounds great, let me know when you are here"". Upon our arrival, vehicle was on the lot with Texas Buyers Tag attached to it, dating 2 days prior. Classic bait and switch.

I guess there is a reason for 4 out 5 stars overall rank for a dealership representing a global Acrua brand. I don't fault the sales associate here. So, to sales management in pre-owned department - congratulations. Just remember, in the age of the internet your lot becomes a second choice. ",1,1,0,0
541,11,24-Oct-18,"Recently visited to look at a truck
There asking almost 5 grand above nada clean retail. 
Truck is far from clean
Roof has a lot of hail damaged
Previous own clearly had dogs chewed up back doors 
Seat belts etc 
You could tell it was just dirty inside 
They did what they could to clean but still dirty dark carpet in all cracks. 
Truck needed shocks 
Missing rear tailpipe 
Needs front ball joints. 
Had a check engine light on that they were unsure if it wa a fixed or not
Reset computer by disconnecting batteries. 

A dealership that doesn’t quite care what the true value is of a vehicle 
They just seem to come up with there own price. 

Sales person aundre was awesome 
As well and the service manager 
She was great

The upper management seems to be where the issues come from ",1,1,0,0
542,12,26-Apr-18,"Where to start. 
I took my car into MCA on Saturday, April 14, 2018, for an oil change.
No one acknowledged that I was even there for a good 10 minutes. One guy was on the phone and proceeded to let me know that! Finally a guy came over to help. Michael L. asked if I had the ""Master Plan"" and I didn't know. He rudely asked me if I had ever paid for an oil change there. He told me that I could wait in the waiting area but I left the car there so obviously I wasn't in a rush as it was only 1:00 PM and I was told on the phone that they closed at 5:00. 
 I told them that I was having problems with a tire losing air pressure. Not a problem, they would look into that too. 
They called within an hour saying my car was ready. On my paperwork it stated that they had changed my oil AND rotated my tires. 
They didn't find anything wrong with my tire but if I continued to have problems I could just call them back. 
Monday, April 16, 2018, I got in my car to go to work and my tire had lost air pressure. BUT the tire in question was still in the location that I was previously having problems so obviously they did NOT rotate my tires as indicated on my paperwork. Now I'm wondering if the even changed the oil? I have called several times with no response. I even called Jennifer H. the customer relations manager, and still have not received a response. I have now contacted Acura Customer Care and filed a complaint with the BBB. 
This is the 3rd car that I have purchased at Mac Churchill and will be the last. The first car that I bought was a used Volvo but found out that it had been wrecked (not disclosed at purchase). Second car was a lease to get out from under the Volvo that I was upside down in. Third car (shame on me!) was a purchase because my lease was up and I really liked the Acura ILX. From the moment I signed the papers, I had trouble with the salesperson contacting me. I had left my CD's in my old car and they were ""looking for them"" and would never get back with me. I finally wrote those off as lost. I have NO trust in them anymore. Enough is enough. They truly do not care about the customer and their investment. 
I know MC from Jewel CB and he probably has no clue how bad they are treating people. He will when I run into him again.",1,1,0,0
543,13,20-Mar-18,I purchase my car less than one month ago.  No one will return your call and customer service is incredibly after you purchase your car.  ,1,1,0,0
544,14,06-Jan-18,"I was told coupons were no longer accepted and that the new service manager made the change to not honor them. The service rep could care less about any customer service and was indifferent to her job. In my hand now I have a coupon card in my hand directly from MacChurchill! Laziness as she did not want to apply to my account and rather charge me the $70!! I want a refund for the amount due per this coupon, I will gladly send an email w photo of what I have. I need to be contacted immediately!!",1,1,0,0
545,15,29-Dec-17,"I found a used car online on their website and took an appointment for the next day. I called before leaving the next day morning to make sure the car was still available as I was driving a long way. I took the day off and went there and was told that the car was no longer available. The manager told me that someone reserved the car, they should have at least the common sense to have told me that was the case so I could have saved a drive and not waste my time taking the day off. At the very least, they could have told me to make a deposit if that is how they operate. They advertise something online and then when you go there tell you that it is no longer available. I was warned by another friend that they do that all the time, but I gave them a benefit of doubt. Overall bad experience.",1,1,0,0
546,16,13-Nov-17,"I went to this dealership to look at a BMW 335i that I found online.  It's time to upgrade from my '07 model even though I still love it.

The sales associate was polite and greeted me as I approached the front door.  We sat down at one of the many tables in the showroom area and he took down my info.  All good so far. 

We took the car on a test drive and I really liked everything about it, except I felt it was a little overpriced based on my research, which I told him.  He asked me what I would like to pay and he told me he would do his best.  I told him I would finance the car through my Credit Union, as they had already preapproved me for 2.49% for up to 5 years.

When we returned to the dealership, he went into the ""manager's pit"" (A room with glass windows but a door so of course you can see them but not hear them)  The managers are behind a tall bartop looking thing - looking down on all of the shoppers.  I'm sure there's some psychological reason why some dealerships do this.  After about 15 minutes, the sales associate comes out with a sheet full of numbers - I examined this closely, and found that not only had they not reduced the price at all, but there was an additional fee of $1800 for ""vehicle restoration"" WHAT???  Every other time I have purchased a car these kinds of fees are included in the price.

The sales associate asked me what my monthly budget is.  I told him I didn't really have one, the most important thing to me was that we get closer to my offer price.  He insisted on getting a number I told him $450 for 60 months, which was $50 less per month than they ""full price"" monthly payment option they had as a suggested payment.  Closer to 20-25 minutes goes by, my sales associate has disappeared, but when I saw him outside the dealership walking around I approached him to ask him what was taking so long.  He apologized and headed back into the managers den and came back out with a new sheet.  He smiled and said ""Great news, we got you down to the payment you requested!""  I took a look at the sheet and realized instantly they had not only not reduced the price or removed the fee - they just extended the payments out to 72 months.  Essentially adding another $2400 to their bottom line from the first time!  What a joke.

I told the sales associate that I wasn't pleased and that I had another appt at another dealership.  I got up to leave and he said ""let me get my manager""  I continued walking out to my car.  As I was getting in I heard my name and sure enough the sales associate and manager were walking briskly towards me.  He introduced himself as the manager who was ""working the numbers""  I told him how I felt that was a cheap move and I liked the car but they would have to get closer to $25k.  He said, what if I can get you $26.5k? Would you do it then?  I thought about it for a minute, and agreed to his offer.  He said, ""Ok, I'll be right back""  I told him he had 10 minutes before I had to leave to see the other car, but if he came back with a sales contract, I would sign it.  

After another 15 minutes, the sales associate came back out with a frustrated look on his face.  He told me the manager sent him out to tell me they wouldn't do any less than $28k on the car plus the restoration fees.  I thanked him, and left to go see the other car where I had a MUCH better experience.

I feel really bad for the sales guy who I'm sure is commissions only.  He really tried hard and was really friendly.  That's the reason for the one star.  Based upon my experience with manager and the ""process"" I will NEVER buy a car from this dealership.",1,1,0,0
547,17,03-Oct-17,"Bought a 2015 TLX new from them. Now with just over 43,000 miles.  Battery died the other morning.  Was able to put a charge on it and take it to Autozone to check it out.  They put their load meter on and said sure enough the battery had a dead cell.  They suggested to take it to the dealer, that it might be under warranty.  ""Big Mistake.""  I set up an appointment for 8:00 in the morning.  They suggested replacing filters, transmission fluid, brake fluid and a tire rotation for nearly $800.  Of course I said xxxx No!  They told me initially that they didn't find anything wrong with the battery.  I called them out on it and they said they could run a load test.  Of course they found that the battery was bad and that it was under warranty and they would replace it.  After 2 1/2 hours (what should have been 30 minutes max.) I left fuming.  Of course the Assistant Service Manager apologized and said it should have only taken 1 1/2 hour max.  I told him I could change one in less than 10 minutes.  He said it was for the paper work.  B.S!  Being a guy that knows better, I got out of there without it costing me money.  I feel for those who do not and get sucked into their indecent practices. ",1,1,0,0
548,18,05-Sep-17,"Please be aware that this is the most deceitful/dishonest dealership ever experienced. Do not go to it. Still no key fob to deactivate alarm!!!

The fobs were finally received but that does not undo all of the horrible experience of deceit, lies, and arm-twisting. The warning still goes.",1,1,0,0
20,19,02-Aug-17,"I called in about a car I saw on their website yesterday. I spoke with a rep who said his name was ""Taco"" Mendez. He seemed nice, as they always do at this stage.

He confirmed that the car was still available and I told him I had challenged credit and thus would not be making the trip to the dealership without a pre-approval. He repeated my request back to me, and I confirmed that I'd already done the financing app on the website. He asked me to send him a picture of my ID, which I did, then he said ""let me go to work for you and I'll be back in touch."" I supplemented my ID with several other identity and address-verifying documents via email. I also included my proof of income, bank statements, etc.

Heard from him after closing. He said ""we have a way to go"" on financing. I set an appointment for the next morning (today), but texted the salesman letting him know I had some questions before coming all the way to dealership. It's 30 miles from my house. I told him I needed a ballpark on financing terms before coming all the way to the dealership given its distance from my house. This information is something other dealerships have gladly provided so as not to waste either party's time. He says his finance manager won't contact any banks without me being there.

Let's just say they're unprofessional. Though I conceded that my credit was bad when I first called in, they thought they could leverage that into getting me into the dealership before discussing any terms. Which is ridiculous considering they've already dinged my credit with a hard inquiry! 

To paint the peacock, when I texted the rep that I was already on my way to a dealership much closer to my house, he (like a high school girl) responded, ""Ok good luck.""

I'm convinced the positive reviews on here are people that were paid or are family members of the sales reps. These guys are trash. Will stick to dealerships rated 4-stars and up on Google.",1,1,1,0
549,20,06-Jul-17,"Stay away from here or be extremely careful, better go to Frank Kent instead. I had the worst car buying experience. Management did nothing but blabber excuses and not able to help at all.",1,1,0,0
275,21,27-Jun-17,"I've have a relationship with this dealer for almost 20 years.  I no longer trust them.  Everyone in the used car department is in on the scam.  I visited them to buy a truck.  Don pressed me to make an offer on one on the lot so it did.  He did not pass it on the the sales manager (Mr. Brooks) so when I was presented with a purchase agreement, there was no indication that my offer was relayed.  Further, the price of the truck on the sales agreement was now $6,000 higher than advertised .  Outrageous considering Mr. Brooks convinced me to come back after the truck wouldn't start for a test drive saying he would 'make me a deal' in light of the failure.  Bait and switch.  I walked away.  Two weeks later the same truck is still listed everywhere (Cars.com, Autotrader.com, and their own website) but now FOR THE PRICE I OFFERED.  I went to them to initiate the sale the day after the price was changed but was told it was sold two days prior.  In essence the price was changed but the truck was not on the lot any more and they had no intention of selling it at the advertised price.  That is Fraud!  These people are scam artists from the top down.  No honor.  Please don't waste your time.  I certainly won't waste any more of mine.",1,1,0,0
550,22,19-Jun-17,"I've had problems with this dealership from day one. After driving 2 hours to trade in after receiving a call that now is a perfect time, and sitting there for 6 hours waiting on a deal to be made. Needless to say I drove home in the same car and will never go back to them. Worst dealership I've been to. Though they do have so great employees, the management only cares about money.",1,1,0,0
21,23,15-Jun-17," This dealership sucks big time. The only reason I bought my car is because its the one I wanted. 1st , I was lied to by one of the finance managers. And I recorded it in video. He tole me he would not do i credit check since I was approved with the bank. And he actually did to get a kick back from the bank. Then after signing paper work. My sales guy tells me they sold me on the wrong car and they made a mistake. The car I wanted was listed cheaper and my sales guy tells me he needed more money. 300 more to be exact. That was a joke. After i left. He called me back in to talk to anther director and gave me some bogus story about why he ran my credit without my authorization. I now put 500 more down to take the car. Before I take it, i listed everything that was wrong. I was assured it would be fixed. After talking and dealing with different sales reps, because my original sale rep kept ignoring my calls and texts, I drop my car off for service. Which i was told it would be ready the same day. 3 days later when I pick it up. Nothing I listed to fix was not fixed. Not to mention the greese stain that was left behind on the floor matt. Didn't even have the audacity to wash it. I DON'T RECOMMEND THIS LOT TO ANYONE!",1,1,1,0
551,24,13-Jun-17,"I drove over 350 miles to MacChurchill to buy a used vehicle. I talked with Bryant over the phone several times about the vehicle, confirmed its availability and that it would not be sold before I arrived. I was repeatedly assured that the vehicle was waiting on me and I didn't need to do anything further. When we arrived for our appointment (after getting up at 3am and driving), we were informed that Bryant had called in and the vehicle had been sold the night before. No one had called to inform us of the vehicle's sale. I was highly disappointed in the lack of professionalism displayed overall at the dealership. I was repeatedly told that ""these things happen"", which I can understand to a degree. In my opinion, basic courtesy would be to extend a phone call to inform someone that the car has sold (especially if they were driving 350 miles to buy the car). It was also slightly shady that Bryant was ""running late"" and then ""called in sick"" to our scheduled appointment...especially considering the circumstances. I really do understand that people have life occurrences, but overall it left a bad taste in my mouth for the dealership and the sales staff.  

Joseph Trinh was the salesman who was initially taking care of us when we arrived , and he was very nice and apologetic. He tried very hard to find us a vehicle that was comparable, but ultimately they were not able to do so. I negotiated with 4 different managers, but in the end they were unable to match prices of other dealerships. 

I went in to buy a mid-level vehicle from MacChurchill. I ended up buying a top level vehicle from another dealership, with similar miles to the MacChurchill vehicle, and I payed $2k less for the top line vehicle. ",1,1,0,0
22,25,06-Jun-17,xxxx these people. They're the worst. Nothing but lies and empty promises until you sign then no one answers or returns calls. Wont be doing ANY more business with ANY of their stores. May even try to see if I can get ahold of their corporate rep for the region and see how high up the ladder this will get before I get what I'm owed. ,1,1,1,0
552,26,03-May-17,"Needed to purchase a car for cash due to medical expenses for incurable cancer. Lied to by dealership. Standard ""140 plus"" checkpoint not done on cash deals. Lied to by more than one employee including used car manager. ",1,1,0,0
553,27,09-Mar-17,"THE ABSOULTE WORST ! I WOULDNT EVEN GIVE THEM 1 STAR IF I DIDNT HAVE TO! THESE PEOPLE ARE FRADS !!!!! MY FIANCE AND I CAME IN JUST TO LOOK AT CARS B/C THEY HAD AN AD POSTED ON OFFER UP FOR $500 DOWN ! WE WENT AND  THEY TOLD US THE CAR WE HAD TO TRADE IN HAD ENOUGH EQUITY ON IT TO WHERE WE CAN GET TWO CARS!!! ALL WE HAD DO WAS PUT DOWN $1000 FOR BOTH CARS PLUS THE TRADE IN ONE OF OUR CARS AND  WE WOULD BE PAYING THE SAME AMOUNT WE WERE ALREADY PAYING A MONTH FOR BOTH CARS  THAT WE ALREADY HAD(WHICH WAS A LIE )  . AFTER THE DEAL WAS DONE (WELL THATS WHAT THEY TOLD US ) WE WERE ABLE TO DRIVE OFF THE LOT WITH AN ACURA AND A MERCEDES BENZ .AND THE CAR I WAS ORGINALLY DRIVING I GAVE AWAY . A  WEEK PAST BY AND THEY HAD ME COMING UP THERE TO SIGN PAPERWORK FOR ONE OF THE CARS CAUSE ""THE BANK CHANGED THEIR MIND"" SO I HAD TO GO WITH ANOTHER BANK WHO APPROVED ME ....(SKETCHY) AND AT THE TIME THE CHECK ENGINE LIGHT HAD CAME ON FOR THE MERCEDES I TEXTED MY CAR SALESMAN ( EUGENE AND LAITH ) WHICH THEY BOTH IGNORED !A FEW MORE DAYS PAST BY AND I HAD TO GO UP THERE TO SIGN MORE PAPERWORK B/C THIS BANK ""CHANGED THEIR MIND"" AS WELL AND I SPOKE WITH LAITH ABOUT MY CHECK ENGINE LIGHT BEING ON AND HE SAID THEY IS NOTHING THEY CAN DO ABOUT IT B/C MY WARRANTY HASNT KICKED IN YET . .. IT KEPT BEING THE SAME STORY TWO TIMES AFTER THAT SO FINALLY THE FINAL BANK SAID THEY APPROVED ME!  BUT I HAD TO DO A INTERVIEW WHICH I KNEW NOTHING ABOUT UNTIL THEY CALLED ME .SO WHEN THEY CALLED ME AND WERE ASKING QUESTION I ASKED WHICH CAR WERE THEY TALKING ABOUT B/C I HAD DROVE OFF WITH TWO CARS   AND THEY TOLD ME I NEED TO TALK TO THE DEALERSHIP. SO I CALLED DAVID IN FINANCES TO ASK THEM WHAT THEY WERE TALKIING ABOUT AND HE TELLS ME IM NOT SUPPOSED TO MENTION THE OTHER CAR THEY DONT NEED TO KNOW ABOUT THAT ( SKETCHY ) BAND I WAS LIKE WHY IF I GOT THEM TOGETHER HE WAS LIKE THEY DONT NEED TO KNOW JUST TELL THEM ABOUT THE MERCEDES . SO WHEN THEY CALLED AGAIN EVERYTHING HE TOLD ME TO TELL THE BANK I TOLD THEM . A FEW DAYS LATER I GET A CALL TELLING ME I HAD TO GO UP THERE AGAIN BECAUSE THEY DENIED ME AND I FAILED THE INTERVIEW . SO THEY FOUND ME ANOTHER BANK I GO UP THERE TO SIGN I WAITED UP THERE FOR A ENTIRE HOUR AND NO ONE CAME TO ME AND SAID ANYTHING TO ME BESIDES THE LAITH  WHO SOLD ME THE CARS. SO I LEFT .A WEEK GOES BY AND I HAVENT HEARD ANYTHING FROM ANYBODY . I CALLED UP THERE BC WE WERE  READY TO PAY NOTE FOR BOTH CARS AND THEY TELL ME I NEED TO BRING MY MERCEDES BACK AND IM LIKE FOR WHAT AND THEY TOLD ME THEY COULDNT FIND A DEAL FOR ME , I ENDED UP SPEAKING TO THE DIRECTOR (WHO WAS A SUPER RUDE  )  COME TO FIND OUT IT WAS A ""MISCOMMUNICATION ""ON THEIR END  NO ONE INFORMED ME WE WERE DOING TO DIFFERENT DEALS AND THE DEAL THAT WE AGREED TO AND DISCUSSED IS NOT THE DEAL THAT ACTUALLY HAPPEND , THE ORIGNAL DEAL FOR 2 CARS FOR 1000 DOWN AND MY TRADE IN ONLY WENT TO ONE OF MY CARS INSTEAD OF BOTH LIKE WE DISCUSSED AND  AGREED TO THEY WERE TRYING TO GET MY MERCEDES FOR 0 DOWN.AND I LET THEM KNOW THAT NOT WHAT  WE AGREED TO AND THEY KEPT SHIFTING BLAME ON ONE ANOTHER  .. ALL IN ALL THEY TOOK ADVANTAGE OF ME B/C I WAS YOUNG  AND DONT KNOW TO MUCH ABOUT CARS AND I ENDED UP LOSING MY CAR B/C A DEAL THAT I THOUGHT WAS ORGINALLY DONE IN THE FIRST PLACE ! I WILL NEVER RECOMMEND THIS CIRCUS TO ANYONE ! RUN IN THE OPPOSITE DIRECTION !!!",1,1,0,0
554,28,25-Feb-17,"Highly unsatisfied.  Good luck getting anyone to answer your questions about the vehicle you purchased. I can't even get a copy of our paperwork from these people. The receptionist will bounce you around from voice-mail to voice-mail and still no one helps. I don't even know who my lien holder is because these unlikable, unprofessional people are not willing to help once they are done with your car deal. The sales girl was a liar told me paperwork was sent on a Thursday here it is 10 days later and still no paperwork. They delivered the truck to my husband at work which happened to have scratches and a dentist hat wasn't revealed in the pictures online . Terrible service didn't meet or speak with a single person that was worth saying a nice word about. This place is terrible and rude and very unprofessional and I would know I work at a car dealership and we treat our customers with respect and bend over backwards to make them happy. Maybe this dealership should take some training from my dealership and learn a little respect and hospitality.",1,1,0,0
555,29,12-Jan-17,"After having my oil changed by a third party it was brought to my attention that some grease had been leaking from the boot/CV joint. Being that this was a new car that is still under warranty I took it to Mac Churchill to have them look into the issue further. 

I was told that whatever had caused damage to my vehicle would not be covered under warranty that that it would run approximately $340 plus tax and disposal cost. Believing that I was being told the truth I agreed to have my car worked on. This was on a Wednesday afternoon and I was told that the part would have to be shipped overnight to arrive on Thursday. Once the part arrived it would be a quick fix and I would have the car sometime late Friday morning. On Thursday afternoon about 3:30pm I stopped by the service center to grab some items I had left in my car. At this time I was once again told that the part would be in any minute and the car would be repaired the next morning.

Friday morning I called my service advisor three times on his direct line and he did not return my calls. Finally around 3pm I called the service center's main line to have me transferred. The advisor picked up immediately in which he decided to inform me that the part was on back-order and would not arrive for approximately one month.  

I was not given a straight answer as to why it took multiple phone calls and several hours after my completion time to be told the part was on back-order. The advisor should have known it was on back order the second the part was ordered. 

Due to this deception I took my car to another Acura Service Center in DFW. After they looked at my vehicle they confirmed the part on back order but happened to bring up that the issue with the vehicle was 100% covered under warranty. 

Some might say that such a deception borders on flat out thievery. 
",1,1,0,0
682,174,02-Jun-20,They wanted 1000 dollars for a licence plate installation. I talked to the  manager and he was telling me that this is an ok price. Went to an Audi dealer nearby and they did it for FREE.,1,2,0,0
683,175,31-Mar-20,"On Sunday traveling I started my trusty Audi and was greeted with a Check Engine and glow plug light. This concerned me so much that I thought it best to go to the nearest dealership. Sadly I chose this place. After a normal check in, the service stopped. I was notified that my previous warranty repair was broken and surely the other dealer must have done shoddy work. Six months ago and 10k miles ago. After refusing to warranty by the service manager I was sent on my way. I will have the warranty repair done at my normal dealership tomorrow with the same standard  of service I have always enjoyed. I will not ever return to or do business with this dealership nor recommend to anyone as the value of that 5 to 6 hundred dollar part was far more important to them than my health or satisfaction. ",1,2,0,0
684,176,26-Nov-19,"Very bad dealership. Not happy with them at all.
I bought a car from them, the car had some damage in the hood and bumper. It was showing nothing in the CarFax report which was really strange.

Business usually run on trust, my biggest mistake was trusting them.

They made me test drive a different car claiming that my car would have the exact same feature, which it did not.
They made me wait for a month to get the car(told me it would take a week to fix it), made me sign the contract for the car before the car was fixed and also said that my 5 car trial period would start after my car was fixed and I get my car.
Since my car didn't have the feature it was promised, I went back to return the car and they said that my 5 day trial period started the day I signed the contract.

They are not giving me my down payment money and keep stalling me.
Even Up to today, it's been more than 3 weeks that I have asked for a refund, they keep stalling me saying they can do nothing.

This dealership is shady. I suggest you not to go there. 

This was the first car I was buying with hard-earned money, they just made it a really bad experience for me.",1,2,0,0
685,177,09-Apr-19,"Hi

I took my 2011 Audi A4 for a 55000 miles service.
Bill came up to 2000$. (Oil change, coolant, brake fluid)

I was over billed 300+$ for Tire-rotate and Wheel balancing (which was never done)
They promised a refund for Tire works that was never done.

But later realized that they cheated me, I never got my refund.

Please stay away from Audi-Plano-Service.


",1,2,0,0
686,178,30-Jan-19,"Worst Experience Ever!! 

Audi Plano has to be by far the most condescending and rude Finance Team there is. To be treated like I was not good enough or could not afford the vehicle was just outrageous. 

I went in today for my 2nd appointment to pick out the color and options to see what kind of negotiation we could do and instead we got disrespected and laughed at by Trey, the Director of Finance and Peter in Finance. 

Thank you to Neil, Marcio, and Danny for coming back and trying to recover from the damage the others did. Thank you for being respectful and apologizing for their horrible behavior, even when you did not do the insulting. 

It’s sad, you could’ve had my business had we not experienced that discrimination. We didn’t ask you to do us any favors, we just ask for you to be transparent with the numbers. You instead chose to be disrespectful and treat me like I could not afford it (I hv excellent credit and make great $) and you had already made your decision on if you were even going to try and sale this vehicle to me as soon as u walked up. Shame on you for your derogatory behavior, remarks, and your terrible manners.

If u want an Audi...do yourself a favor and go to a different one!! If you want to get laughed at, walked away from, and treated like garbage, go to Audi of Plano.

To the Finance Department, learn some manners!!!! ",1,2,0,0
284,179,14-May-18,"The sales management team at this dealership is horrible.  My sales rep, Crockett, & worked all afternoon on a deal for a new Q7.  Crockett did a great job & initially got the deal approved & we signed the paperwork.  Then we had to make a change & he comes back & says sorry that we can't honor the deal we just made.  Management says your trade in will be $1000 less than we just agreed too.  Stay away from them!  They are a bait & switch dealership.",1,2,0,0
687,180,05-Nov-17,"We were looking to buy an SUV so we went to Audi Plano to have a feel of their SUVs ... But later while reviewing we got the exact features and the interiors were very much matched the way we looked for.. and the sales person handled it very well... by the time we decided to go for it.... and the sales person started working on paper work where we were thinking to work on different banks to work for better rates... a person showed up all of a sudden asking for deposit Cheque in a very hard way.. I got taken up back for a moment as there was no communication about the cheque and I said that we will give the next business day and another guy came all of a sudden shouting that "" so you are not going make a deal today?"" again hard view. 
There are many friends who has bought from Plano I have never heard same day giving deposit cheque..
And they were forcing to give the deposit cheque and start the paper work for finance which was weird and was got surprised... treatment was very bad and we as a family got very upset as we have spent so much of time irrespective of having guests waiting back in home. 

I have never experienced this type of customer service at Audi.",1,2,0,0
688,181,24-Jun-17,"I inquired about an MDX at 40,997. Got a response and all was well. All the sudden there was a ""mistake made"" and the car price was raised to 44995. Autonation audi plano does not stand by their advertised prices. Bait you with one price, switch it to another.",1,2,0,0
