,Index,Date,Reviews,Serial,review_proc,Spot Delivery
2192,2028,11-Mar-20,"Accepted a price emailed from sales manager and set an appointment to come in and purchase the vehicle. Met the sales manager and he appointed a sales person to go over the car with us. After getting home and going over the contract, realized the car was priced $650 more than agreed amount. I should have payed closer attention to the numbers and didn’t want to argue over it and was going to forget about it. Over the next couple of days and several reminders from the dealership to fill out survey and give them all 10’s I explained after overpaying I didn’t feel they earned it. The sales manager did not think I understood the figures on the contract and had the gentleman from finance call me to explain. After receiving a voice mail from him I called back and explained it to him on his voicemail. Never heard from anyone at the dealership again. On the two week anniversary on the purchase of the vehicle the screen on the dash indicated there was an updated for the system. It would not download and stated to see dealership. I called the service department at Gilman and was informed I would have to schedule and appointment and drop the car off. Went by the dealership talked to the salesman, he talked to the service department and confirmed even though I was right there with the vehicle I would have to make an appointment and drop the car off. This seemed inconvenient so I called Honda Car of Katy which is a few miles from my house. After explaining the issue with no questions the gentleman said to bring it by the next morning and they would look at it. This made me realize I may have chose the wrong dealership. Today received letter from Wells Fargo with details of purchase. After turning down wheel and tire protection at least three time to the gentleman in finance he stated he would throw it in for free. No where on the contract at the dealership did it list tire and wheel protection. The letter from Wells Fargo has it listed as an add on item for $1,049.00 charge to the loan. I have now started a claim with Wells Fargo and plan on contacting the Better Business Bureau.",41,accepted a price emailed from sales manager and set an appointment to come in and purchase the vehicle met the sales manager and he appointed a sales person to go over the car with us after getting home and going over the contract realized the car was priced more than agreed amount i should have payed closer attention to the numbers and didn t want to argue over it and was going to forget about it over the next couple of days and several reminders from the dealership to fill out survey and give them all s i explained after overpaying i didn t feel they earned it the sales manager did not think i understood the figures on the contract and had the gentleman from finance call me to explain after receiving a voice mail from him i called back and explained it to him on his voicemail never heard from anyone at the dealership again on the two week anniversary on the purchase of the vehicle the screen on the dash indicated there was an updated for the system it would not download and stated to see dealership i called the service department at gilman and was informed i would have to schedule and appointment and drop the car off went by the dealership talked to the salesman he talked to the service department and confirmed even though i was right there with the vehicle i would have to make an appointment and drop the car off this seemed inconvenient so i called honda car of katy which is a few miles from my house after explaining the issue with no questions the gentleman said to bring it by the next morning and they would look at it this made me realize i may have chose the wrong dealership today received letter from wells fargo with details of purchase after turning down wheel and tire protection at least three time to the gentleman in finance he stated he would throw it in for free no where on the contract at the dealership did it list tire and wheel protection the letter from wells fargo has it listed as an add on item for charge to the loan i have now started a claim with wells fargo and plan on contacting the better business bureau,1
2260,2101,03-Sep-19,"I specially told the salesman and Neil Pratt that I was pre-approved with Capital one Bank to finance my vehicle.  But,  Mr. Pratt applied for a car loan with several banks against my wishes, anyway.

And after complaining to the manager, he simply told my that  I should be happy that Neil ""tried to help me""  Disrespected again, I'm 54 years old and I don't need no one disrespecting me in such a manner...I'm an African American Female.

Neil nor the manager pay my bills.

",42,i specially told the salesman and neil pratt that i was pre approved with capital one bank to finance my vehicle but mr pratt applied for a car loan with several banks against my wishes anyway and after complaining to the manager he simply told my that i should be happy that neil tried to help me disrespected again im years old and i dont need no one disrespecting me in such a manner im an african american female neil nor the manager pay my bills,1
2270,2111,30-Jan-18,"We went to this dealership to buy an Odyssey Touring. We did a test drive and finally got to the point of negotiating price. For the whole negotiation, we were talking about out of the door (OTD) price without any trade-in or anything. In addition, we never mentioned about how much we wanted to put down for down payment. We got the the OTD price of $43,000. Then we go to finance office. Everything went fine up until the point we signed the payment paper. We agreed to put down $10,000 as our down payment which means that we will finance $33,000. But NO, on the paper, the amount we needed to finance was $35,000. Turned out, from the beginning, they had put $2,000 as my down payment without my knowledge. Basically, their PRICE WAS $45,000, not $43,000 which I was led to believe. This came at a surprise to my salesman too because as I said, we negotiated the car’s price without any down payment in mind. Moreover, when presenting the finance paper to us, instead of showing, explaining, and checking everything on it (ex: interest rate, down payment, amount finance…), the finance guy just went straight up to the monthly amount and tell us to put initial on it, trying to rush through the paper. If we haven’t caught that, we would of buy that car for $45,000 and thinking it was only $43,000. The final straw that make me writing this is when the finance guy told me that that was never his fault, that $2,000 was on the paper from the beginning and I did not read it (my thought: even your staff did not see this, and you still had to courage to blame it on me????). I understand that dealerships need to make their money somewhere, either car price, finance, extended warranties, or accessories; which is totally acceptable; but what I cannot tolerate is when they are trying to SCAM their customers. Yes, I used the word “SCAM.” Their way of doing business is highly UNETHICAL. After reading my review and you still want to give this dealership a try, by all means, be my guess. At least, keeping my experience in mind and I hope you get a good deal from them. My final warning: EXTREMELY CAREFUL WITH THIS DEALERSHIP!!!!
",42,we went to this dealership to buy an odyssey touring we did a test drive and finally got to the point of negotiating price for the whole negotiation we were talking about out of the door otd price without any trade in or anything in addition we never mentioned about how much we wanted to put down for down payment we got the the otd price of then we go to finance office everything went fine up until the point we signed the payment paper we agreed to put down as our down payment which means that we will finance but no on the paper the amount we needed to finance was turned out from the beginning they had put as my down payment without my knowledge basically their price was not which i was led to believe this came at a surprise to my salesman too because as i said we negotiated the car s price without any down payment in mind moreover when presenting the finance paper to us instead of showing explaining and checking everything on it ex interest rate down payment amount finance the finance guy just went straight up to the monthly amount and tell us to put initial on it trying to rush through the paper if we haven t caught that we would of buy that car for and thinking it was only the final straw that make me writing this is when the finance guy told me that that was never his fault that was on the paper from the beginning and i did not read it my thought even your staff did not see this and you still had to courage to blame it on me i understand that dealerships need to make their money somewhere either car price finance extended warranties or accessories which is totally acceptable but what i cannot tolerate is when they are trying to scam their customers yes i used the word scam their way of doing business is highly unethical after reading my review and you still want to give this dealership a try by all means be my guess at least keeping my experience in mind and i hope you get a good deal from them my final warning extremely careful with this dealership,1
2530,2394,03-Mar-17,"I applied for credit online and picked a car and gave them my trade information and had the deal completely worked out over the phone. They told me $1,000 down payment with my trade would yield a monthly payment of $280 per month. My family was thrilled with the deal and we went to pick up the car and sign the paper work. They took me in to the office and said my payments would be $400 per month. I said there must be some mistake, I already worked this all out on the phone and my payment is supposed to be $280. They said, well the guy you spoke with isn't here today so this is the new deal. I said ""no thank you"" and turned to walk away and they grabbed me on the way out and said give us 20 minutes. They came back after an hour and said, ""sorry, that's our best offer"". I left and promised to tell this story online which I am doing now. Don't go here.",51,i applied for credit online and picked a car and gave them my trade information and had the deal completely worked out over the phone they told me down payment with my trade would yield a monthly payment of per month my family was thrilled with the deal and we went to pick up the car and sign the paper work they took me in to the office and said my payments would be per month i said there must be some mistake i already worked this all out on the phone and my payment is supposed to be they said well the guy you spoke with isnt here today so this is the new deal i said no thank you and turned to walk away and they grabbed me on the way out and said give us minutes they came back after an hour and said sorry thats our best offer i left and promised to tell this story online which i am doing now dont go here,1
2583,2451,19-Feb-20,"I had the worst buying experience at this dealership, it was a total waste of my time and an insult to me and my family. I went over there after finding a vehicle online trying to avoid hours of waiting, I told them exactly what I was looking for and where I needed to be numbers wise, after 3 hours there they called me to the finance office and the finance manager Victor  Told me “You are approved for $0 down and a monthly payment of $352 but is late and I want to call a couple other banks tomorrow morning to see if I can get you a better APR” so I asked him 3 times: so I am already approved for $352 correct? And he said “Yes, that’s a fact, it’s a done deal, let’s go get your new car and you can come back tomorrow to finish with the paperwork “ we came back home with the car after the finance manager told me it was a done deal. Two days after they called me to go and finish the paperwork, but surprise!! When the guy came with some numbers completely different and saying that because it was late the bank gave him a number and they change it later.... what the h is that supposed to mean??? He showed me the numbers, had me sign the agreement and then he was trying to tell me that I needed to purchase a brand new vehicle instead of an used one in order to be in that payment range, to me that is a just trying to sell something more expensive by lying to your customers, so after 3 more hours of stupidity I had to take my old car back. The only 2 people that really tried to work with me and really helped me where the sales guy Michael Stewart and his manager. So if you want to have a nice experience don’t you ever go to this dealership, they are going to lie to you in your face just to try to make you purchase something completely different and way more expensive and out of your budget than what you had in mind.",53,i had the worst buying experience at this dealership it was a total waste of my time and an insult to me and my family i went over there after finding a vehicle online trying to avoid hours of waiting i told them exactly what i was looking for and where i needed to be numbers wise after hours there they called me to the finance office and the finance manager victor told me you are approved for down and a monthly payment of but is late and i want to call a couple other banks tomorrow morning to see if i can get you a better apr so i asked him times so i am already approved for correct and he said yes that s a fact it s a done deal let s go get your new car and you can come back tomorrow to finish with the paperwork we came back home with the car after the finance manager told me it was a done deal two days after they called me to go and finish the paperwork but surprise when the guy came with some numbers completely different and saying that because it was late the bank gave him a number and they change it later what the h is that supposed to mean he showed me the numbers had me sign the agreement and then he was trying to tell me that i needed to purchase a brand new vehicle instead of an used one in order to be in that payment range to me that is a just trying to sell something more expensive by lying to your customers so after more hours of stupidity i had to take my old car back the only people that really tried to work with me and really helped me where the sales guy michael stewart and his manager so if you want to have a nice experience don t you ever go to this dealership they are going to lie to you in your face just to try to make you purchase something completely different and way more expensive and out of your budget than what you had in mind,1
2595,2463,17-Dec-16,Poor follow through.  I'm currently driving away with the same issue I brought my vehicle in and I've now been here twice. I told Cedric and his superior thanks for letting me drive away after two separate visits with the same problem. Great service provided by Sterling McCall!,53,poor follow through im currently driving away with the same issue i brought my vehicle in and ive now been here twice i told cedric and his superior thanks for letting me drive away after two separate visits with the same problem great service provided by sterling mccall,1
2598,2466,09-Aug-16,"Entered into contract falling prey to a cheap sales tactic for a used Acura rdx on 11 June 2016, faulty car failed inspection on 14th june at their own company Sterling mccall acura, but dealer refused to give us cancellation form even after contract was void as per contact clause of safety inspection. He agreed to repair the car only partly which was not acceptable. We didn't even drive the car out of his parking lot. We cancelled the insurance and down payment, send him a letter of cancellation by certified mail (14th june) same day as inspection, after he threatened to  repossess the car and affect our credit report. Now TD finance -dealers finance company is bolstering fraud again, sending us notices for payment. They processed the loan when contract was void, without proof of insurance or delivery receipt misled by Fraudulent dealer. Still pursuing this case with GM Mr. Prather who is not communicating with us anymore or cooperating to cancel the contract. 

We were treated very badly with derogatory remarks when asked for cancellation form by a person who claimed to be GM. Now GM denies this saying he never met us without accountability of allowing people in his cabin posing as GM in his absence. We have no economic damages but now away debt for car which we didn't take and a rude personal experience that can never be forgotten.",53,entered into contract falling prey to a cheap sales tactic for a used acura rdx on june faulty car failed inspection on th june at their own company sterling mccall acura but dealer refused to give us cancellation form even after contract was void as per contact clause of safety inspection he agreed to repair the car only partly which was not acceptable we didnt even drive the car out of his parking lot we cancelled the insurance and down payment send him a letter of cancellation by certified mail th june same day as inspection after he threatened to repossess the car and affect our credit report now td finance dealers finance company is bolstering fraud again sending us notices for payment they processed the loan when contract was void without proof of insurance or delivery receipt misled by fraudulent dealer still pursuing this case with gm mr prather who is not communicating with us anymore or cooperating to cancel the contract we were treated very badly with derogatory remarks when asked for cancellation form by a person who claimed to be gm now gm denies this saying he never met us without accountability of allowing people in his cabin posing as gm in his absence we have no economic damages but now away debt for car which we didnt take and a rude personal experience that can never be forgotten,1
2684,2555,17-Nov-15,"We trade Inn our leased car with a New Sonata
They Cheated So Badly, They were just concerned to sell their car and never gave our whole paper work at the time of the deal and later Our Finance Bank came after Us to get the Difference, Which we already made up in the trade Inn price
So watch out these criminal acts ",56,we trade inn our leased car with a new sonata they cheated so badly they were just concerned to sell their car and never gave our whole paper work at the time of the deal and later our finance bank came after us to get the difference which we already made up in the trade inn price so watch out these criminal acts,1
2692,2563,06-Mar-15,"I live out of state & was looking to purchase a vehicle I seen on their website, done application online & email my info to Ralph Mendoza & never heard anything back from him so I called & left message after message for him & never received a call back. No one at this dealership ever followed up with me to let me know any kind of information or what was going on. Ive called for a week straight & couldnt get anyone to tell me anything & was told several times they would call me back with some information & I haven't received a call back yet.",56,i live out of state was looking to purchase a vehicle i seen on their website done application online email my info to ralph mendoza never heard anything back from him so i called left message after message for him never received a call back no one at this dealership ever followed up with me to let me know any kind of information or what was going on ive called for a week straight couldnt get anyone to tell me anything was told several times they would call me back with some information i havent received a call back yet,1
152,2665,04-Apr-09,"1. First HE LIED when asked direct questions!
2. He LIED again & said certain things came w the car, that didnt.
3. Then we signed the papers, took home, & when we returned for the make ready, cause it was late when we bought it, we had to go financing.
4. Bait & Switch on contract wanting new signatures.
5. Finance manager lied & said financing was thru- Uh, HOW if we have to redo the paper wk?
6.Recv'd letter threatening to sue us if we didn't cough up $2000 for price change. Day later received a letter from a new bank they had taken over the title and we didnt owe any thing.
7. When we confronted him head on asking WHY did you say such&Such, he failed to remember, & said we MISunderstood him. 
8. We offered day two to give the car back, protect our credit, and the finance manager even offered to PAY us to take the car-- what do we need to do? Then proceeded to tell us how they were losing money on this used car.
9. When I asked 3 people WHO OWNED the dealership, nobody knew, it always went back to the finance manager is the ""top dog"". Really? 
10. Does ANYONE dress professionally or act professionally at this place! It was like a hoochie bar. As a former business consultant, I could fire 75% of the people I met there! 
11. Last and not least, they NEVER walked us through all the buttons on the car, couldn't find the owners manual, second key, remote entry-- a whole lotta excuses and RUDEST car people we ever dealt with. I will file a disgruntlement w BBB. DO NOT BUY FROM THESE IDIOTS!",57,first he lied when asked direct questions he lied again said certain things came w the car that didnt then we signed the papers took home when we returned for the make ready cause it was late when we bought it we had to go financing bait switch on contract wanting new signatures finance manager lied said financing was thru uh how if we have to redo the paper wk recvd letter threatening to sue us if we didnt cough up for price change day later received a letter from a new bank they had taken over the title and we didnt owe any thing when we confronted him head on asking why did you say such such he failed to remember said we misunderstood him we offered day two to give the car back protect our credit and the finance manager even offered to pay us to take the car what do we need to do then proceeded to tell us how they were losing money on this used car when i asked people who owned the dealership nobody knew it always went back to the finance manager is the top dog really does anyone dress professionally or act professionally at this place it was like a hoochie bar as a former business consultant i could fire of the people i met there last and not least they never walked us through all the buttons on the car couldnt find the owners manual second key remote entry a whole lotta excuses and rudest car people we ever dealt with i will file a disgruntlement w bbb do not buy from these idiots,1
2754,2630,31-Mar-17,"I purchased a vehicle w/ approved financing. Was later told the financing did not go through after I took delivery of the vehicle. I later found out the finance co had not cancelled, the dealership  had not turned in all of my paperwork. I was harassed by the Finance Mgr. ( Spencer) , which consisted of him telling me he contacted Mesquite Police Dept and reported the car stolen. After bouts with the finance dept, I was called by an individual that said he worked in finance at Fenton ( Carlos),( it turned out he really worked for the repo hunters), I told him I would return the vehicle as my first payment was not due, and this did not look like it was a start to a good relationship. He informed me he would have the car picked up so that I would not have to worry about a ride home. He said he would send the necessary paperwork for me to get my down payment back on Monday morning. The tow truck arrived, and I found out the driver only had a repo order. I still returned the car, called on Monday ; and was told by Spencer (Finance Mgr) that he would not return my down payment and I would have a repo on my credit. I had to get an attorney to get by down payment back. And to  boot, the dealership has continued to run credit applications on me at least every two weeks and that has been 4 months ago. I WOULD NOT RECCOMEND THIS PLACE TO ANYONE. ",57,i purchased a vehicle w approved financing was later told the financing did not go through after i took delivery of the vehicle i later found out the finance co had not cancelled the dealership had not turned in all of my paperwork i was harassed by the finance mgr spencer which consisted of him telling me he contacted mesquite police dept and reported the car stolen after bouts with the finance dept i was called by an individual that said he worked in finance at fenton carlos it turned out he really worked for the repo hunters i told him i would return the vehicle as my first payment was not due and this did not look like it was a start to a good relationship he informed me he would have the car picked up so that i would not have to worry about a ride home he said he would send the necessary paperwork for me to get my down payment back on monday morning the tow truck arrived and i found out the driver only had a repo order i still returned the car called on monday and was told by spencer finance mgr that he would not return my down payment and i would have a repo on my credit i had to get an attorney to get by down payment back and to boot the dealership has continued to run credit applications on me at least every two weeks and that has been months ago i would not reccomend this place to anyone,1
2776,2652,27-Apr-13,"Very unethical, dealership attempts to take advantage of people who have poor credit.

1. How do you tell someone they are approved for car and allow them to take the vehicle?
2. How do you not disclose that car was a demo?
3. How do you charge a new car price for a demo with over 6000 miles?

My daughter has some major credit issues, she selected this dealership because they state that can finance anyone.  She called and they told her that even with her credit score they could get her approved.  My daughter took her 2006 Mazda RX-8 which has some body damage to dealership as trade.   She selected a 2013 Sonata with a sticker price of 27K, they presented a deal where gave her 4K as a trade and selling the Hyundai for 25, they also told her they were giving her a 1000 rebate from the Hyundai Motor Corporation.  She was told that she had been approved and that she could take the car. and her payment would be around 563.  The dealership did not disclose that car had 6K miles, which mean this was not a new car.  When she called no one could give any type of explanation.  When she return to finalize the deal they told her she had only qualified for car with a payment of $450.  When she provided research on her trade and pointed out that they were not giving her a fair price and that based on research the Sonata should be discounted by several thousand for the mileage.  The Sales Manager came back with a deal where they were now giving her 5k on her car as-a trade in but the price of the car which the finance person acknowledged was demo was now $28000.  In addition they told her the bank was charging $1500 to process her loan.  When she asked for the loan company/bank name to verify they refused to give to her. At that point they got very ugly and told her they were done because she did not qualify for a 30k car and to take our business somewhere else.

After being rude and telling us to take our business somewhere else the sales guy had the nerve to call and ask us to turn around because he left his sun glasses in my daughter’s car.  If this was the last dealership in Texas I would walk before buy a car there.  I would not recommend this dealership to anyone.  They are about taking advantage of people especially people with poor credit scores and making the most profit because they think people cannot do research.  
",57,very unethical dealership attempts to take advantage of people who have poor credit how do you tell someone they are approved for car and allow them to take the vehicle how do you not disclose that car was a demo how do you charge a new car price for a demo with over miles my daughter has some major credit issues she selected this dealership because they state that can finance anyone she called and they told her that even with her credit score they could get her approved my daughter took her mazda rx which has some body damage to dealership as trade she selected a sonata with a sticker price of k they presented a deal where gave her k as a trade and selling the hyundai for they also told her they were giving her a rebate from the hyundai motor corporation she was told that she had been approved and that she could take the car and her payment would be around the dealership did not disclose that car had k miles which mean this was not a new car when she called no one could give any type of explanation when she return to finalize the deal they told her she had only qualified for car with a payment of when she provided research on her trade and pointed out that they were not giving her a fair price and that based on research the sonata should be discounted by several thousand for the mileage the sales manager came back with a deal where they were now giving her k on her car as a trade in but the price of the car which the finance person acknowledged was demo was now in addition they told her the bank was charging to process her loan when she asked for the loan company bank name to verify they refused to give to her at that point they got very ugly and told her they were done because she did not qualify for a k car and to take our business somewhere else after being rude and telling us to take our business somewhere else the sales guy had the nerve to call and ask us to turn around because he left his sun glasses in my daughter s car if this was the last dealership in texas i would walk before buy a car there i would not recommend this dealership to anyone they are about taking advantage of people especially people with poor credit scores and making the most profit because they think people cannot do research,1
2781,2657,17-Jul-12,I boufht my car ten days ago....during the signing they switched me from signer to cosigner without permission...added a 30000 dollar warranty....didnt go over anything with me. After my rating on here...they called me...fixed the paperwork back to how it was supposed to be originally and made me reconsider my first rating.  However...today Jim in Finance called me accusing me of never making my down payment....which I honestly thought I had. The man basically called me a liar and specifically told me I have no decency. Afte speaking w my cosigner...she doesnt remember the first guy taking the money...so my fiance has been trying to contact them for payment...but has been unsuccessful. After throwing up for the last two hrs since speaking w Jim...i am honestly ready to just return the car....horrible horrible experience....,57,i boufht my car ten days ago during the signing they switched me from signer to cosigner without permission added a dollar warranty didnt go over anything with me after my rating on here they called me fixed the paperwork back to how it was supposed to be originally and made me reconsider my first rating however today jim in finance called me accusing me of never making my down payment which i honestly thought i had the man basically called me a liar and specifically told me i have no decency afte speaking w my cosigner she doesnt remember the first guy taking the money so my fiance has been trying to contact them for payment but has been unsuccessful after throwing up for the last two hrs since speaking w jim i am honestly ready to just return the car horrible horrible experience,1
2824,2707,09-Jun-17,Sales person ran my credit after asking several times NOT to because I was approved already with my bank not using Hyundai financing - lied to me and ran my credit All I ask for was a price to give to the bank,60,sales person ran my credit after asking several times not to because i was approved already with my bank not using hyundai financing lied to me and ran my credit all i ask for was a price to give to the bank,1
3328,3237,13-Feb-20,"I am sad to leave this particular rating. I have many friends at this dealership however, I was appalled that during the finance portion Of the transaction I was charged an interest-rate above what I could’ve been offered. I listened to the finance employee and he explained it was the best there was. The very  next day I discovered that there were several options available to me at a lower rate. I will be refinancing my car in the next week at the better rate. I should have followed my gut and not completed the deal.

I like my car very much.  The finance department was a major disappointment.  ",71,i am sad to leave this particular rating i have many friends at this dealership however i was appalled that during the finance portion of the transaction i was charged an interest rate above what i could ve been offered i listened to the finance employee and he explained it was the best there was the very next day i discovered that there were several options available to me at a lower rate i will be refinancing my car in the next week at the better rate i should have followed my gut and not completed the deal i like my car very much the finance department was a major disappointment,1
201,3545,20-Feb-19,"BEWARE!!!! This place scam customers and do under handed financing. I was thinking I purchased a car, just to be informed financing fell through. I got a letter from the bank, but not once did I  receive a call from the dealership.",79,beware this place scam customers and do under handed financing i was thinking i purchased a car just to be informed financing fell through i got a letter from the bank but not once did i receive a call from the dealership,1
206,3615,04-Mar-16,"Was told I was approved over the phone. I asked several times over a period of 3 days are you sure my employment verification letter is fine due to me going through a bad separation; so our bank account is still linked together. I also explained that I do not have a co-signer nor want to put one on. She told me several times that yes that was fine and I was approved with zero down without a co-signer. I had someone drive me an hour and a half with a 4 year old and 2 year old just to get into the office and they tell me I needed a co-signer and the employment verification letter was not going to work as proof of income. I am very upset that I was lied to and that my kids had to endure this long wait and long car drive! They should be honest with people instead of telling lies and waisting peoples time. I would not recommend anyone to this dealership. Even the ""management"" that they brought into the office was not knowledgeable not helpful with any of this. Erica is the lady I was speaking with, the management person I can not recall his name. ",79,was told i was approved over the phone i asked several times over a period of days are you sure my employment verification letter is fine due to me going through a bad separation so our bank account is still linked together i also explained that i do not have a co signer nor want to put one on she told me several times that yes that was fine and i was approved with zero down without a co signer i had someone drive me an hour and a half with a year old and year old just to get into the office and they tell me i needed a co signer and the employment verification letter was not going to work as proof of income i am very upset that i was lied to and that my kids had to endure this long wait and long car drive they should be honest with people instead of telling lies and waisting peoples time i would not recommend anyone to this dealership even the management that they brought into the office was not knowledgeable not helpful with any of this erica is the lady i was speaking with the management person i can not recall his name,1
208,3651,16-May-13,"I found the dealership to be typical hustle / bait and switch tactics disturbing.  Went to look at Rogue, was shown Murano.  Told the dealership in process of buying home (car totaled in hail), had certain parameters to stay within and that I had financing through my own bank.  They gave me an interest rate that was about 1.5% higher than my bank and the finance department says, ""oh that doesn't really matter.""  When I went to another dealership with that same financing company found that Baker Nissan had increased the interest rate on their own about 1.5% from what they were getting.  And the worst part is they sent out inquiries to about 10 places, so now in the middle of purchasing a home I have all these hard inquiries on my credit -- EVEN AFTER I TOLD THEM I HAD FINANCING.  This recent car purchasing experience has been the worst ever for me.  Somebody really needs to do something about the ""bait and switch"" crap.  What good does it do to research online if the car ""just got sold yesterday"" ... ?",79,i found the dealership to be typical hustle bait and switch tactics disturbing went to look at rogue was shown murano told the dealership in process of buying home car totaled in hail had certain parameters to stay within and that i had financing through my own bank they gave me an interest rate that was about higher than my bank and the finance department says oh that doesnt really matter when i went to another dealership with that same financing company found that baker nissan had increased the interest rate on their own about from what they were getting and the worst part is they sent out inquiries to about places so now in the middle of purchasing a home i have all these hard inquiries on my credit even after i told them i had financing this recent car purchasing experience has been the worst ever for me somebody really needs to do something about the bait and switch crap what good does it do to research online if the car just got sold yesterday,1
3604,3530,21-Nov-19,"Yesterday I had the worst experience, LaQuita told me to called me and said that I was approved without a downpayment to come up there when I got thete a salesman with a smart mouth said you need $1500 and in the system it says pre-approved he wad really disrespectful, she also text me me saying that I was approved and not pre-approved",79,yesterday i had the worst experience laquita told me to called me and said that i was approved without a downpayment to come up there when i got thete a salesman with a smart mouth said you need and in the system it says pre approved he wad really disrespectful she also text me me saying that i was approved and not pre approved,1
3616,3542,09-Mar-19,"Got a call from Kelly telling me I was pre-approved come in. I asked several times what the amount was that I was pre-approved for and the monthly payment to make sure it was something I could afford and make sure I can get it to something that I was comfortable with paying monthly. She told me it did not matter, I would be approved for any amount $0 down. I went in after work on a Friday, spent two hours looking at vehicles, and finally chose one and then was told I would have to come back tomorrow because the banks are closed. I called Saturday morning before I head down there, it is a 45 minute drive for me and everything is getting put together should have everything ready for me to sign when I get there. Instead of calling me so I don't waste my time. I drive 45 minutes down there to find out that I cannot get the vehicle I chose the night before without $5,000 down. So I choose a less expensive vehicle go down $ $10,000 come back with that could finance that with $3,000 down and that I need to stick with a Nissan because they have more options of financing.  And then because it was a truck it is harder to get financing for a truck so I went to an SUV, and I'm now I'm told they can Finance it with 1500 down as I went down in the cost of the vehicle another $5000. They do not call in down payment they call it a bank fee or get a cosigner so 0 down never happened unless you have wonderful credit and make $10,000 a month. I requested how to post a review on their website and was told they would have a manager call me they did not want me to post a review on their website. Holly Menges ",79,got a call from kelly telling me i was pre approved come in i asked several times what the amount was that i was pre approved for and the monthly payment to make sure it was something i could afford and make sure i can get it to something that i was comfortable with paying monthly she told me it did not matter i would be approved for any amount down i went in after work on a friday spent two hours looking at vehicles and finally chose one and then was told i would have to come back tomorrow because the banks are closed i called saturday morning before i head down there it is a minute drive for me and everything is getting put together should have everything ready for me to sign when i get there instead of calling me so i dont waste my time i drive minutes down there to find out that i cannot get the vehicle i chose the night before without down so i choose a less expensive vehicle go down come back with that could finance that with down and that i need to stick with a nissan because they have more options of financing and then because it was a truck it is harder to get financing for a truck so i went to an suv and im now im told they can finance it with down as i went down in the cost of the vehicle another they do not call in down payment they call it a bank fee or get a cosigner so down never happened unless you have wonderful credit and make a month i requested how to post a review on their website and was told they would have a manager call me they did not want me to post a review on their website holly menges,1
3626,3553,14-Oct-18,Expected to run my credit and sign a contract for a overpriced Ford expedition when the vehicle was unsafe and in need of great repairs ,79,expected to run my credit and sign a contract for a overpriced ford expedition when the vehicle was unsafe and in need of great repairs,1
