,Date,Reviews,Ratings,
420,18-Jan-16,My experience at hyundai was below average compared ro the other experiences that I've had at other dealerships. I would still recommend this dealership to other people still. ,2.6,
21,20-Nov-17,How do you think I felt after driving 2 hours to get to the dealer and shown the car I was going to purchase as we agreed on the phone and then told it was sold to someone else.,2.8,
42,21-Oct-17,Had a good experience with my salesperson but the sales manager was unprofessional and rude. I’ve already tried contacting the branch manager about the behavior but haven’t gotten any response. I also provided more detailed feedback on the previous page.,2.8,
493,20-Jul-15,I was exiting the store when the payment was too high for me. The general manager stopped and talked with me. After speaking with the bank we shook hands on $350 a month. I asked if adding my daughter to help her credit was possible. They ran my daughters credit 7 times which dropped her score 23 points and ultimately didn't add her to the loan because of a clerical error by Equifax. Because she wasn't added to the loan they increased my monthly payment by $10. She was never apart of the original deal when I shook at $350. I was told the $14 difference was gap insurance however the gap was only $4 per month. After they put the loan through my name we called both people we talked to. We never heard back.,2.8,
142,28-May-17,"DURING PURCHASE OTHER UNOCCUPIED SALES PERSONNEL WERE NEARBY JOKING AND LAUGHING WHICH WAS DISTRACTING.WAS NOT TOLD BEFOREHAND THAT A CASHIERS CHECK WOULD BE REQUIRED.  THE DAY BEFORE WHEN I SAID I WOULD WRITE A PERSONAL CHECK, NO OBJECTION WAS VOICED.  THIS REQUIRED A TRIP TO MY BANK WHICH COULD HAVE AVOIDED.",3,
323,04-Aug-16,"Overall I would not reccomend this location to purchase a vehicle. First, I'd like to say I do feel like I received an excellent deal which is why I ended up buying the car but that is about it. I made two visits to Hyundai and worked with Alex both times. The first time we went on a short test drive.  I went back the next day asking to do another so that my boyfriend could get the feel as well.  During the drive I asked Alex a few questions we went over the day before and he responded, ""I've done about 30 deals over the last day so I don't remember.""  Way to make me feel like a valued customer.  If anything I actually felt like an inconvenience to him.    Once I decided to purchase the car, again strictly due to the good price, there was zero time spent reviewing the features of the car, I spent $30k and didn't even know there was a lift gate button in the back or that I had wifi and the ability to download apps.  There are still some features I have no idea how to use.  I understand that we purchased the vehicle at the very end of the day so they were not able to do a full detail, which was no problem as Alex said I could come by later in the week.  Also, he did not do a walk around or anything with me.  He just had me sign papers saying everything would be taken care of when I came back for the full detail.  The next morning once it was light outside, I realized there were some light scratches on the front right bumper.  I emailed Alex and he said they'd ""See what they could do"" during the detail.  Unfortunately after it was worked on it the scratches are still there.  I will say I have been to the service department twice now, one for a car wash and two for the detail and both times I have received friendly service so I will probably continue to go back for my service needs.    At the end of the day, thanks for the great deal and I am really loving the car and fortunately I'm a good googler so as I've had questions about the features I have been looking them up myself.",3.2,
402,22-Mar-16,tried to cancel lo jack. no response from sales.good sales presentation employes are great.wish I did not have lo jack experience.in the future you should be more upfront with customer.we should not have to read every word. there should be more trust.try to be fair,3.4,
412,10-Mar-16,The salesman was nice and the dealership was clean but the price I got was not the same as the price agreed on before I went there.,3.4,
177,24-Apr-17,"I felt the people I dealt  with were helpful and friendly,but I was not aware of some of the items I was agreeing to. In retrospect I would not have signed off t he Lojack and warranty which I certainly  did not need, I also felt  the  trade in value was too low.",3.6,
399,25-Mar-16,"Overall, I am pleased with the dealership. Although I do believe the people I worked with could have been more accommodating. There were items on the deal that were not fully explained and that I did not have appropriate time to discuss. This was MY fault, but I believe the pressure was deliberate.",3.6,
261,08-Dec-16,I went in not looking to come out with a new car. They were not pushy. Gave all info needed. They made the process easy,3.8,
297,06-Oct-16,Salesforce is great –  Alex the Internet sales manager was extremely professional and moved the process forward – finance lady  was sick and the closing process took way too much time – you need a back up plan – One of the cars had a small service issue and dealing with your service was a nightmare.,3.8,
319,11-Aug-16,I was promised 90 days no payment and contract reads first payment is next month in September I was betrayed the ad says 90 days no payment,3.8,
356,11-Jun-16,"I love my new car, however, I thought it was unfair and unprofessional for my salesman to try to trick me into getting the 10,000 mile/year lease vs. the 12,000 mile/year lease. I would've gone way over and I would've been charged for that.",3.8,
131,09-Jun-17,"salesman, christian, was very good.  Had a poor experience with EScondido Hyundai just before coming to carlsbad hyundai dealer.  Carlsbad Hyundai was much better. sss  ssss sss ss ss  s   ssss s s s s s  ssss s s s s",4,
164,04-May-17,I am pleased with the salesperson. It could have been better if blue link was connected when I got the vehicle. Up to now I am still resolving this problem with blue link representative.,4,
167,04-May-17,"At North County Hyundai, the car Sales person made my purchase experience rather pleasant. I would definitely recommend North County Hyundai to friends and family.",4,
218,24-Feb-17,Staff was friendly and professional. Not great at follow up though. Still waiting on a call regarding ding removal and missing floor mats. That is all,4,
239,15-Jan-17,"Overall, the experience was good. Could not pin down the actual cost based on data I had researched before I visited the dealership. I am happy with the Elantra and overall, I was treated with respect.",4,
300,06-Oct-16,We purchased a santa fe from Manny a couple of months ago and the process was quick and easy. We appreciate his help and are enjoying our car.,4,
336,16-Jul-16,The whole experience was professional and agile. The dealer was genuinely interested in helping me achieve my needs. He demonstrated excellent customer service and care and I appreciated his work ethic.,4,
382,06-May-16,Kept pricing and service as promised no surprises. I recommend buying your next car from here because they didn't have the car I wanted they traded with another dealer to get it.,4,
403,21-Mar-16,Was treated well. Dealer was very informative and made sure I was well taken care of. I would definitely come back again for my next purchase,4,
417,08-Feb-16,"Loved my old 2001 Santa Fe but it was time for a new Tucson. It's the envy of work parking lot.

Alex really helped my experience be a positive one and reduced some of the new-purchase jitters.

I thought I was ready to buy last year but the other dealership wasn't the right fit. Glad I truated my instincts and went with another Hyundai.",4,
14,01-Dec-17,I loved working with Josh in sales and the whole team. Very friendly and knowledgeable. This is my second car and will likely be looking for another one in 3 yrs. Thank you and Keep it up!,4.2,
51,07-Oct-17,Christian is excellent--as is the sales manager Robert. Ialso found the finance person extrememely professional and easy to work with. I found poor follow up on the part of other sales folks,4.2,
194,29-Mar-17,"The dealership (Sean Martin) kept in contact with us for three months after we first inquired about the Ioniq after seeing it at the LA Auto Show  By the way - I was not allowed to leave a comment about Sean Martin (below), but he was patient, attentive, a good communicator and he let us feel our way through the process. We thought that he did a great job.",4.2,
236,17-Jan-17,Emanuel was awesome. He explained the differences between models and found the right car for us.  The sales manager helped make a great deal and finance was friendly and quick.,4.2,
272,19-Nov-16,"My overall experience with getting here, getting approved, to driving away was all in good timing. Not too fast and not to long. Thanks for considering us and our needs.  What I would say though, is before pulling up a vehicle to the door that the customer didn't even pick out, you talk with them about color of the vehicle, test driving it, and also pricing. I didn't test drive it until the leasing process was almost done nor did I know I was leasing it until I walked in the finance office. Being transparent and vulnerable to a customers feelings about how the process goes is very crucial. 45% of this decision for a new vehicle is emotional, which could escalate and very possibly be given an automatic thumbs down due to how much their opinions were considered in what vehicle the ""dealership picked out"" verses having that initial ground work done of the buyers satisfaction.",4.2,
358,10-Jun-16,"make sure you get every thing you bargained for and learn everything about your controls and features and make sure they work properly before you sign the papers. I made the mistake of buying when busy and had to come back a couple days later for instructions on use of features and found I did not get what I was promised. I was supposed to get navigation features in dash without use of separate devices if I subscribed to the Blue Link feature but wen the dealer and activated it we found it was not available for this system and I had to get a smartphone with a navigator ap and plug it in to my system as a separate device (at a cost of $50+/- per month). I should have had the dealer operate the navigation before I signed the papers. Needless to say I was very disappointed. Even the salesman was surprised that it didn't work but, too late, I already signed the papers.",4.2,
360,09-Jun-16,My third Santa Fe. Becomming more refined with better ride and elctronic goodies. So the transaction did not required a lot of operational details. Low keyed perfessional sales person was what I wanted.,4.2,
436,08-Dec-15,"I got a new 2016 Sonata Hybrid at reasonable price during Black Friday 2015. I did some homework, contacted internet manager, and drove this car 2 weeks before buying it. After I disagreed with the offered price it was lowered to my satisfaction. Overall it was a good buying experience.",4.2,
476,18-Aug-15,The services was good and the vehicles were good. The sales staff was friendly and helpful but I did notice some issues that comes with the negotiation of buying a car. The major one was intentionally providing wrong pricing for a trade in car price until the paperwork was needing to be signed.,4.2,
481,12-Aug-15,They were friendly and didn't pressure us like other dealerships. We came back multiple times to make sure we got the right vehicle and price for us.,4.2,
225,10-Feb-17,Attentive to my inquiries and willing to help answering any questions and help understand vehicle technology  I wasn't satisfied with financial manager I paid for vehicle cash and didn't need any finance from dealer but she kept pushing for her own finance,4.3,
426,06-Jan-16,"Timely professional sale.  Eric didn't seem like a high-pressure sales guy, I already knew which vehicle I wanted when I came in, and they got it for me at the price I wanted.  ",4.3,
5,23-Dec-17,"We first looked at the car in September.  We were away for 2-3 weeks. Sales rep contacted us once by email while away. Very courteous & professional.  When we got ready for purchase, sales rep recalled our previous discussions. Made the process much more efficient.",4.4,
9,13-Dec-17,"The vehicle was ""washed"" at time of picking it up but when Alec from sales saw the poor job they did he immediately offered to make it right and have the vehicle detailed. I brought the SUV a few days later for that detailed wash and for my surprise they have only buffered off a small section where some scratches were reported not even washing the SUV at all. I reported this to Alec and he apologized and offered to detailed the car at my convenience. After I return from a trip today,  I brought the SUV for that so mentioned detailed wash. To my disappointment, for the 3rd time, the car was basically wash off . Water stains all over, no shiny tires, still red paint from promotion price over windows, dirt stains here and there . Really disappointed with how they ""wash/detaile"" vehicles. Made an appointment with my personal car wash person to do a full detail since it seems Hyundai can't get it done.",4.4,
40,25-Oct-17,"The price was great, the employees were friendly, but something as simple as a follow up call for a test drive gift card never happened.  Its the classic scenario great when you purchase, then no follow up.  I might add, a friend did the test drive at a different Hyundai dealership & got the e-mail with the gift card the same day.  Left messages with the GM, no return call!!",4.4,
55,27-Sep-17,"From several service appointments for my Hyundai Accent, I have grown to trust the honesty and integrity of this dealership's service department. It has helped to be a Costco member, having the benefit of 15% off coupons applied to the service bills. In spring 2017 I received a letter from Hyundai about a defect in the passenger seat air bag and made an appointment on May 1, 2017 to have the defect repaired. The service dept called to postpone the appointment as they had not received the necessary parts but promised to call to reschedule when the parts came in. I have not received a call-back to reschedule for this (warranty ?) work to be done. On Sept 4, 2017 I purchased a 2017 Hyundai Ioniq Blue from the sales department through the Costco Auto Buying Program. Although I have had buyer's remorse over the purchase, the sales representative Emmanuel Rodrigues did his utmost to serve me courteously, patiently and professionally. In particular, he stayed as late as necessary to serve me when the designated Costco representative was unavailable; we went to the storage lot to  exchange a higher-model Ioniq with the Hybrid Blue I was interested in; when scratches were discovered in Hybrid Blue which we had picked up that I had test-driven, Emmanuel asked a driver to pick up an unblemished Hybrid Blue from the storage lot in my desired color and my preferred interior; when I objected to paying for LoJack and Express Code, Emmanuel called in his manager who heard me out and agreed to remove the charges; when I expressed concern about the lack of a spare tire, Emmanuel sought authority to agree to install a spare tire upon appointment for $250.00; when I agreed to move forward with the proposed finance contract, he transferred me quickly to the Finance Manager to complete the paperwork so I would not be delayed by other buyers needing to complete paperwork the same evening.  Emmanuel dealt with each of my concerns and answered my questions without exerting pressure on me to buy. ted no pressure on me to",4.4,
57,25-Sep-17,Aaron was the best! He was very attentive and worked quickly with us. We were in and out in two and a half hours and that included two test drives. We knew what we were looking for and he was very helpful. There was another salesman that approached us first and he was not very friendly and was not very knowledgeable of the cars. He left us to work with someone else and than Aaron approached us which was wonderful!,4.4,
111,24-Jun-17,"Christian was an excellent salesman, was not pushy and knew about the vehicle (which isn't always the case with car salespeople). I would recommend him to friends who are looking to purchase a Hyundai",4.4,
143,27-May-17,Sean Martin and Robert Wilson were the sales personnel that I dealt with.  Both gentlemen were polite and professional and interested in my being totally satisfied with my purchase of my 2017 Hyundai Ioniq SEL Hybrid. I have nothing negative to say.,4.4,
221,23-Feb-17,"The whole staff there was great, Cody my salesman that does the Internet  Sales was awesome he made my experience there truly a great experience ! Looking to buy there again in April with Cody .",4.4,
288,26-Oct-16,"Salesmen are very professional and do a great job of showing you ALL of the charges during the sales process.  However, be careful of the women in finance.  They do not know what they should about add-on sales and should not be relied on to answer any technical/service questions.",4.4,
344,06-Jul-16,"I negotiated the price of the car before going to the dealership.  The internet sales manager Alex was very easy to work with.  Once we agreed on the price, he got the car ready for our arrival and the whole process took less than 1.5 hrs, including the test drive of the vehicle.  The woman in finance (name escapes me) was very nice and helpful with filling out the financing paper work.",4.4,
369,26-May-16,"This is to rate my experience at the dealership, it was very good overall. The sales agent was friendly and very attentive at all times.",4.4,
418,02-Feb-16,Good experience.  Car is everything that I needed and expected. Follow up and instructions for the electronic and nav system helped tremendously.  Expect this car to meet or exceed all of my expectations.,4.5,
449,28-Oct-15,"The staff in the showroom appeared to be busy with others, so we had to wait a while before anyone appeared.  But that happens and can't be helped.  When helped, the salesman was courteous and helpful and did a good job.
",4.5,
13,04-Dec-17,"I recently purchased a 2018 Genesis V8 G80.  The sales staff at the North County Genesis was very low pressure, professional, and pleasant to deal with.  This is the second new vehicle I purchased from Alex Peterson this year and will be my go to guy this next year when I have to buy a vehicle for my granddaughter.",4.6,
36,02-Nov-17,"The staff members at the dealership were all efficient and thoughtful about what I was looking for,  and about the issues I was trying to resolve.  They gave clear explanations.",4.6,
49,10-Oct-17,In general I had good experience except for the bogus LoJack charge. Other things were handled professionally and timely including financing and follow up calls.,4.6,
53,01-Oct-17,The sales associate and finance officer were both very courteous and helpful in making my purchase. I would definitely recommend this dealership to my family and friends.,4.6,
96,10-Jul-17,"He did a great job, was humorous, open, and flexible. My family really enjoyed him. We would recommend bim of another colleague or family friend of ours",4.6,
97,08-Jul-17,"Thank you Chad for working with Rick and I on getting an awesome Tucson Sport! We did not think we would be driving out with a new car that day when we left home.  That was not our plan! The test drive kind of sold me..:) You worked with us and your manager to get us a deal that fit our budget.  You were knowledgeable and helpful and very professional, your patience on us getting our insurance lined up and everything else. We basically spent the entire afternoon with you😊 We have had the car almost 3 weeks and I simply love it.   Thanks again and to all involved in getting this all done. Sorry do not remember everyone's name.",4.6,
124,12-Jun-17,Second experience at this car dealership. First time a purchase. This time a lease. Our sales person was extremely knowledgeable about the Santa Fe. We aquired a vehicle with so many bells and whistles  that I could not beleave he had all that information in his head for every question we asked. He was so nice he said stop in any time if we had questions and he could repeat the instructions any time. Catherine was equally as qualified in all the explanations of our paper work. Never had such a pleasant experience in a dealership.,4.6,
129,09-Jun-17,My experience was good and the staff was friendly and informative. I love my car and will be back in the future. I would also recommend anyone to come and purchase there car with you.,4.6,
331,23-Jul-16,"I initially set an appt. to survey my return of my sled Elantra. How much  est. $ to repair or touch up the car upon end of lease.  Totally unexpected; 4 hours later I'm driving off the lot in a new 2016 Genesis! Great car . . . My salesman,",4.6,
332,20-Jul-16,Very satisfied. Didn't feel rushed or attacked in anyway like previous car purchases at other dealers. Joe was professional and really helpful as I was indesisive in which model would be best for me. This was the easiest car buying process!,4.6,
335,16-Jul-16,"I love my car. The customer service was great, low pressure and I will be back. The car had everything I wanted.Thank you for the great experience.",4.6,
347,01-Jul-16,"Felt the store is cramped, and needs to be a bit more spacious and airy. Also, the customer parking is less with new cars parked all around.",4.6,
408,11-Mar-16,"On 2/29/16 I arrived to the dealership I had previously called to advise my salesman Alex Peterson, the internet manager, that I would be arriving at a set time so that the cars I wanted to see would be available. There were 2 of the 3 color combinations that they claimed to have and I  travelled over 1 hour to see. The excuse that one of the cars was not available was that the car had technical problems and they could not release it in that condition to me. Lucky for me the color I liked was available, and that's the one I purchased. The only other thing that I didn't like very much was that I was being forced to pay for an alarm system that was pre-installed in my vehicle that seemed over priced and not of my choosing. It was resolved to get it at a discounted rate that I agreed to pay for. Then came the finance dept. where Ms. Catherine Alvarez took me through my choices for financing, and sold me an extended warranty. The explanation of that warranty was not precise, I didn't have time to read the fine print at the time and it was quite expensive for what it covered after thoughroughly reading the fine print. I called the next day to have it removed but but never received a call back from Ms. Alvarez or anyone at the dealership until 2 days later, since I also wasn't given the owner's manual nor the charging cord that came with the vehicle on the delivery date, I agreed to drive to the dealership to pickup those items and resolve the removal of the extended warranty.  I was assured by the sales manager Robert Wilson and my salesman Alex Peterson that everything would be resolved to my satisfaction, and that confirmation of that would come by mail. As of 3/10/16  I have not received anything and the loan papers I received on 3/9/16 seems to have all of the original charges including the extended warranty still. 3/10/16 I called Alex no answer, then Robert at the dealership and was told that he would speak to Catherine to inform me about what has been done to resolve this.",4.6,
424,09-Jan-16,Good experience overall.  Quick and efficient. The salesmen we spoke with did a good job. Didnt push us or pressure us into things we didnt want. Ask for Erik De Mello.,4.6,
441,01-Dec-15,I had a great experience at carlsbad hyundai. Excellent customer service. No pushy sales people. All my questions were answered patiently. The sales staff showed me how to use all the different features.,4.6,
453,14-Oct-15,"I went in and expected to look at a used car, I was shown a few, chose one and then ended up with a 2016 Elantra.  My first Brand new car,  Pretty excited..  Thank You all ",4.6,
484,04-Aug-15,This is our 4th car buying experience at this dealership. We have always felt treated well and left feeling positive. Erick De Mello and Catherine Alvarez were awesome :),4.6,
159,11-May-17,"Eric was an excellent representative as well as the finance women, of which I forgot her name. Eric did not pressure us. He wrote up his quote for us on a particular car we had in mind and we got to take it home to look over. This, my wife and I, were impressed by his professionalism.  My wife and I wanted to go home an do some research first, before we made our decision. We came back the next day and were extremely pleased with our lease purchase!   We had our Hyundai Sonata for many years. It was a good driving car. We always had good experiences, here in this dealership, when coming in for any maintenance and problems!",4.7,
252,29-Dec-16,Very competent dealer and staff. It was a low pressure completely satisfying experience. The Sales and Financial department were easy to work with.  Thanks for the experience.,4.7,
10,13-Dec-17,"The purchase process was quick and painless.  The internet salesperson was not there when we arrived but another person on the team was there and was able to access our file and provide us with the deal that we had negotiated.  The car was delivered clean, full of gas and a thorough explanation of how everything worked.  ",4.8,
15,01-Dec-17,"North County Hyundai was worth the trip from Temecula. Their selection of new and PO vehicles (Santa Fe and Tucsons) was larger than most other dealerships. Staff was not aggressive; Joe listened to my needs and offered several options -- with knowledgeable discussions of each. Hyundai's model offerings are somewhat complicated; however, my sales person (Joe) helped me understand each along with the price trade-offs. In the end, I found a model with all the amenities I requested (save one). I was able to purchase a great vehicle at a good price. Their finance staff was very helpful and made the purchase a pleasant experience. I would definitely consider another purchase from North County Hyundai. Unfortunately, they are too far from my home in Temecula for servicing -- therefore, I will be using the Temecula dealership for my service needs.",4.8,
18,29-Nov-17,The staff of this dealership went out of their way to make this a successful purchase and exceeded my expectations.  The sales and finance processes were quick and easy. Thanks!,4.8,
24,16-Nov-17,We have purchases many new cars and have never had a sales person as awesome as Joe Murray. He spent a lot of time with us going over the car making sure we new everything before driving off. Excellent sales person.,4.8,
29,10-Nov-17,I purchased my last Hyundai from this dealership and had it for 10 years.  Great dealer and great service!  I came back for another new Hyundai!,4.8,
32,09-Nov-17,Alex really helped me out. He made sure I got everything I needed. I will specifically recommend him and Hyundai to everyone looking for a new car.,4.8,
44,19-Oct-17,This is the 4th Hyundai we have purchased from North County Hyundai and every purchase has been great. We also have the vehicles serviced here and are very satisfied overall.,4.8,
47,15-Oct-17,great experience with Alex and catherine. Straight-forward and simple. they treatrd me and my family well and told me the way the things are going to be. very helpful from finanace department as well. Great job guys. keep it up,4.8,
50,09-Oct-17,"I was very guarded going into the dealership, expecting over aggressive sales people. My experience could not have been any different. Everybody was straight forward and not pushy at all. They sell you with facts and information, which I appreciate.",4.8,
78,22-Aug-17,"I was pleased, enjoyed the way it was handled by all. I have no more to say, they need to call so I can get inside and out coated. That's all folks no more to say",4.8,
92,17-Jul-17,"We started with a Genesis and because we love the car, the people, and the service at N. County Hyundai so much, we just leased a Hyundai Tucson for our son. When the lease on the Genesis is up in Oct., we'll be back again to lease another one!",4.8,
98,07-Jul-17,"I had a great experience shopping for my Ioniq.  The staff was very knowledgeable, straight forward, and honest.  Would highly recommend using them to my friends looking for a car.",4.8,
99,06-Jul-17,"Definitely satisfied, will tell family, friends,coworkers  and anyone that will listen. Awesome place to go and friendly staff... this is my second time buying a car and the experience was incredible.",4.8,
106,05-Jul-17,"i referred a couple & neighbors of mine, who bought a Tucson. My experience was very good. The pricing & lease options were explained very well to me.",4.8,
107,05-Jul-17,I asked my dealer if I could get the Lo-jack removed but he lied and said it couldn't though it could be. Other than that it was a really good car buying expierence and I love my now Ionic Sel.,4.8,
113,22-Jun-17,"My Lease was up on my 2014 Santa Fe Sport Turbo (w/Navigation, 12-speaker audio, cargo, etc..), I was looking to buy it, but ended up driving home in a new 2017 Santa Fe Sport Turbo ULTIMATE. The folks that helped me out were super fun to work with and made the experience light and enjoyable. I highly recommend this dealership and will be back.",4.8,
121,16-Jun-17,As I said earlier Corey and Alex were excellent and exceptional sales people actually never met Corey but he pre-qualified me for a loan. Alex made the purchasing of this vehicle as enjoyable as can be when purchasing a car. He met all of my needs and he is a definite asset to your dealership period I also enjoyed your Finance person she had a great personality and was very accommodating as well,4.8,
122,16-Jun-17,I definitely recommend this dealership if you are looking for a place that provides great customer service. Everyone I met was extremely friendly. They made my car buying experience a breeze.,4.8,
128,09-Jun-17,"Pleasant, non adversarial experience.for someone that views buying a car to a root canal, this was a pleasant surprise. I appreciated the entire process.wouldnt hesitate to recommend..",4.8,
133,06-Jun-17,"The best car buying and leasing experience I've ever had.  Friendly, knowledgeable and no hassles or pressure to buy.  They took the time to adjust my choice and explained everything clearly.  Thank you!!",4.8,
135,03-Jun-17,"After weeks of test driving and visiting numerous dealerships in San Diego, I was very pleased to have purchased my new Tucson through Hyundai of Carlsbad.  The atmosphere was much more relaxed and Cody was so great to work with.  He was very professional, knowledgeable of the cars, energetic, fair and a true pleasure to work with. He took the time to explain the benefits and features and also made the process of purchasing easy to understand. I would highly recommend him to friends/family.  Also Carrie in finance provided great customer service as well. Ross, I believe is the manager, and the little interaction I had with him was also easy.  I'm sure his style is a tribute to the dealership.  My overall experience was Five Star and I look forward to returning for my service at this dealership and any future purchases.  Great job to the entire team!",4.8,
138,02-Jun-17,"Friendly, timely and very helpful. Not pushy at all. Very knowledgeable and answered all my questions. Clean area and offered water. Alex was great and kept me informed through the complete process.",4.8,
144,27-May-17,Everyone was super helpful who was involved in the purchase. We love our Sonata so much! It's a great car and fits everything we were looking for.,4.8,
171,03-May-17,"I had great service!  Buy from Cody Didyoung,  he makes your visit experience nice!  Love my Veloster!  Hyundai made my overall experience easy and relaxing!",4.8,
175,26-Apr-17,Please see my previous comments. I have and continue to receive a high level of service at Carlsbad Hyundai. Thanks from a satisfied repeat customer.  Todd K and his team do a good job and are professional.,4.8,
176,25-Apr-17,Great salesman who knew I what I needed and did not prolong the process. He knew I needed to be quick which is one of my priorties when shopping.,4.8,
178,22-Apr-17,My salesperson as well as the finance dept were professional friendly and knowledgeable. I did leave paying more than I had told them I wanted to pay but I'm sure that's typical.,4.8,
179,19-Apr-17,"Initially, my wife and I were frustrated because we had dealt with someone via email in the internet sales dept. and we were working out a deal on a particular vehicle. We set up an appointment to see the vehicle and when we came to see it, we were informed that it had been sold days ago. So, we worked with a new salesperson Joshua Jamison. He was great. He helped find us the right vehicle that we were looking for and listened to our needs. He was a pleasure to work with.",4.8,
190,04-Apr-17,Extremely friendly service. Made the process smooth and stress free. Sean was professional and knowledgeable and a pleasure to work with. I would definitely purchase from them again.,4.8,
