,Date,Reviews,Ratings,Label
2,03-May-18,"Don't go here if you don't want to be mislead, disrespected and lied to. 

Long story short: I was lead to believe I was coming in to buy a car that was sold 5 days prior. And I only learned that the car was already sold upon arriving at the dealership, after having made a 50 mile trip out of my way (even though we kept in contact for the entire 5 days). 

Long story: I came in at 7pm on a Monday with the intention of buying a 2018 Elantra. We have agreed upon a price with the salesman John Nava beforehand, over the internet, but it took an additional 1.5 hours of negotiations with Gus, a sales manager who plays the really, really bad cop (btw, you've overdoing it a bit, Gus), just to get BACK to the agreed upon number with John. From 9 to about 11pm I was told to just sit there and wait for financing (there was literally one other customer at the dealership between two financial managers). Finally, at 11pm, in the financing office, I was offered to sign some document that did not contain any financing information, no APR or bank name, just the car+documents+tax prices. After asking which bank this is and the APR I was approved for, the financial lady told me that all the banks are now closed and they can't have me approved. I would have to take the car home and come back again tomorrow. I was very angry, since I live 50 miles away and don't have a car of my own to get back. At this point, it's a $60 uber ride home. I wasn't going to take this card blanche new car home without signing the PROPER documents first. After asking why I was made to wait this long if you knew that ""the banks are closed"", I got some bs from Jalil, the head finance manager, trying to convince me that everything is going to be fine and I should take the car home. The finance lady offered me a ride home, which I accepted. She went on to ask John to give me a ride home, and he got veeery angry. I said that I will come back to buy this car in two days, but much earlier in the day, but John was done talking to me at that point. I called my $60 uber ride home, while the financial manager Jalil offered to make a $60 discount on the car when I come back to buy it. 
A day later Jalil called me up to say that I've been approved by a bank and that everything is set. 

Two days later, on Wednesday, I am ready to head back to the dealership. I call Jalil with a few important questions before going, but he says he will call me back in 5. Three times. THREE times I had to call him over four hours just to be promised a callback. I ended up not going there because I didn't receive some very important answers.

On Friday John Nava calls me to ask when I will be coming in to buy the car. I say I'm not sure exactly when, but next week for sure. He says GREAT! ... with a kind of ""see ya never"" tone...

On Monday I get a cashier's check with a sizeable downpayment IN THE NAME OF THE DEALERSHIP (the dealership charges an additional $120 if you use a debit card for downpayment), ready to go get the car. I've also emailed John Nava with some final questions, just to make sure it's the same deal, but the quick to reply before man was now completely silent. Around noon I call John telling him that I will be there at 7pm and that I'd like Jalil to be there to finish our business (I wasn't going to let the $60 uber ride slide as a matter of principal). He says GREAT! Come on in, Jalil will be here. I decide to call Jalil as well, just to make sure, because I had a weird hunch about John not telling me something. I tell him that I AM COMING IN TODAY TO FINISH OUR BUSINESS. He naturally says he will ""I'll call you back in 5"", and, naturally, never does. At this point I still have no idea that the car I'm after is sold. I get on the train, and as I approach my final station, I get a call from Jalil at 6.30pm. He tells me two things: 1) my car was sold 5 days ago and 2) Jalil is headed to the Sharks game right now. Wow. That's awesome! 

At this point I decide between turning back or going there and ripping their heads off. I decided to still go and try and get the same deal. Nope. They weren't having it. The EXACT SAME CAR, but a few days ""newer"" was going for a grand+ more. John had a very smug look on his face when I came in. Nicely played John, nicely played. I walked out immediately. Very, very bitter aftertaste. 

I strongly discourage anyone from doing business with these dishonest and disrespectful people.",1.8,
246,22-Jun-17,"Finance guy very pushy trying to sell me something I did not want, I almost Walk Out will never  buy a car there again or recommend you",1.8,
18,16-Dec-17,"Many misrepresentations, felt ""jerked around"" and lied to.  Went back the next day after purchase to complain and the price came down miraculously.  Attention to detail is lacking at this dealership (paperwork had to be redone 3 times).  Liked the car and it was already a week after purchase that the realization that one of the important features I was told was on my car was in fact not available.  Had a very positive experience at another DGDG dealership two years ago and expected the same.  Highly disappointed.",2,
781,10-Jun-16,I believe there was too much pressure to get on to the next customer. Someone should have checked tire better. I am returning to Capitol Hyundai for another tire and see if they can do anything about body damage.,2,
857,14-Apr-16,She it's giving me a different car that the show me first and payment it's different too now I driving a car i don't like and not happy with this lease,2,
870,07-Apr-16,"I sill say Steve Yee was very nice as was the salesman that came with me on the test drive. Those were your only two saving graces in this incident. You need to keep them but really evaluate how your people handle future situations. To have everything at the time of sale,  yet a week later to bother and repeat bother a customer when told not too is bad practice and makes for poor customer surveys. Not that I think this survey means very much to your company nor will I receive any satisfaction from doing the survey BUT you do now know you will never receive any future business or get any future referals from me or my family.",2.2,
1082,25-Aug-15,"The day after the sale I was contacted by the finance manager Jason marcucci, telling me that my financing might have a problem. I was told that proof of residency was not needed. I did not have this documentation and contacted Jason back for a follow up. I left both a voicemail and email. I have not heard from him since. A courtesy email would have been nice but I received now word. Even tried to contact the sales person whose name is escaping me right now but he also did not respond. Will think twice about dealing with these guys again.",2.2,
685,11-Aug-16,"Edwardo (the sale's person) was truly professional however when we went the second time to see him we were met with a different sale's person which was totally out placed and lost,tried to sell us a used car which we were not there to buy  thanks to Edwardo who finished the deal --and we got what we went to the dealer to buy-- even thou he was fairly new on the job.",2.5,
523,01-Dec-16,The cars are over priced. They show you how much your really paying off after the car is paid. I don't know if I want to come back to this dealership after my experience and I don't know if I can recommend the dealership to my friends if they keep doing what their doing.,2.6,
1041,05-Oct-15,"My optional contracts have not yet been cancelled even though its been nearly a month since I bought the car. Even after rigorous followups, no conclusive result. The dealership will just find ways to ignore me. They were very quick to sell the vehicle/optional contracts and I hoped they will show the same quickness to help me cancel it but far from it. Very disappointing.

My second key is not yet with me. I followed up on that so many times and yesterday I was told(when I called) that my key is available and I can come and collect it.

I feel I was tricked by the dealership and am thoroughly disappointed by the dealership.",2.6,
291,01-Jun-17,"I went on a Friday night and was basically the only customer there, but it took over four hours to test drive one car, pick out a different one and fill out all the paperwork. I had to return the next day to get the car detailed. When it was presented to me, it did not have a cargo cover and so I had to return again to get the cargo cover. After I got the cargo cover, I noticed that there was sticky residue where all the sheets containing the vehicle info had been pasted on the car, but I did not want to have to return again a third time to have that taken care of. The car does not seem to have been polished either. Although I was offered a first oil change for free, since I prepaid for 3 years worth of maintenance, that offer meant nothing and when I asked for something else instead, I did not get any response. The salesperson was very hard to understand because of her accent and her odd way of pronouncing certain words. The manager did not explain the charges for the lease in a way that was understandable and used generic terms for charges that could be anything.",2.8,
592,14-Oct-16,"My purchase experience at Capitol Hyundai, San Jose, was flawless.  However, my overall experience of taking ownership of my new Hyundai has been completely ruined by the fact that:  - the dashboard lights do not work when I have the dimmer lights or the full headlights on - the air conditioning is not working when I have the dimmer lights or the full headlights on - the dashboard lights and the air conditioning are starting to not work even when I have no lights on  I have never had a completely new car and the dashboard lights and the air conditioning do not work.  This makes me think very seriously if I want to purchase another Hyundai when I will be replacing my car in the next 4+ years.  I will consider a Toyota or other Asian car manufacturer whose delivery quality will be more assured.",3,
237,30-Jun-17,#NAME?,3.2,
556,10-Nov-16,"Started off really friendly, then continued to push aggressively to try and make the sale when I informed them there was no need. Could use some work on that",3.2,
650,02-Sep-16,the person when i talked with is nice from he is from Iran . but there is another person he change the ARP from 0.99 to 1.99 so i don't like it,3.4,
970,16-Dec-15,"The original car salesman was fantastic - charismatic, informed, and energetic. The person we were switched to during pricing and the finance guy? Not so much.

Overall, the process took beyond a reasonable amount of time. I recommend you do your research to get a fair price, find the right car for you, and come in with a check or cash from your bank or loan (so you don't sit for hours waiting for the agressive finance guys).",3.4,
182,10-Aug-17,"I have had the vehicle for a month or so, vehicle is great but good luck with support after the sale.  I have two issues I have repeatedly emailed and called the Dealer about and no follow up, zero.",3.6,
183,10-Aug-17,Good effort and happy with the final price of vehicle. Not happy about quality of car wash ! I would have liked to have test driven car before purchasing even if Elantra drove comparable to the Sonata,3.6,
244,24-Jun-17,enjoyed working with yasmin.she made the purchasing experience easy and explain all the features of the vehicle .we only wish that the purchasing process could be a little shorter.,3.6,
451,02-Feb-17,"When an intelligent human asks clarifying questions on the sale of a car the sales manager should be authentic, direct and answer the question.  Behavior like what we witnessed leaves the sales rep at risk of losing the deal.",3.6,
975,15-Dec-15,Was over charged for car. Got one for 1600 less week later for second car. Same exact car. Also was given less price for extras.  ,3.6,
1034,13-Oct-15,"Customer service was great
But not being clear about the price of the car leaves you with a unhappy feeling 
I when back the next day to discuss price and the representative still was unsure about price . He had to emailed me the price of car the following day.",3.6,
292,01-Jun-17,My overall experience there at the dealership was great. Everyone was friendly and I never felt pressured to buy. I was able to take my time and look at the different cars. This was by far the best experience I had in buying a new car.,3.8,
300,27-May-17,Jason was a pleasure to work with. He had the vehicle ready when we entered and walked us through the different trims of the Sonata that we were looking for,3.8,
432,23-Feb-17,I love my Hyundai! We were very fortunate to have Dillon as our salesperson! He is great! He thoroughly explained everything and answered our questions to the best of his ability.,3.8,
476,10-Jan-17,Very pleased with the dealership. Very pleased with service.  Very pleased with agent.  Agent was very patient and did follow up with us on our options.,3.8,
477,10-Jan-17,"After sales service is not fantastic, I emailed to ask for additional information but I have never heard back from the team. I spent a long time waiting to collect my new car at the dealership.",3.8,
711,28-Jul-16,Overall great experience.  A little unhappy that my mats were missing and i still dont have it. Upset that my car had a paint chip on back bumper especially when its a brand new car.,3.8,
714,23-Jul-16,"The new car was delivered not completely clean as a new car should, however, the dealership offered to detail the car at my first service visit. I was going to leave this off, but since I have to enter at least 25 words I needed to add something.",3.8,
1058,22-Sep-15,I ended up getting a car I didn't necessarily want but saw the value in getting it!... I was there from 1030- 730 pm! Seems like negotiations were ridiculous and only when we threatened to walk out were our needs KINDA met... Only to go into the next room to be told all those things were not true.... kind of a rough experience. But a Valuable learning lesson. I got a car ... They sold a car... So mission accomplished right?!,3.8,
5,31-Dec-17,The team who assisted me were friendly and knowledgeable . I feel I received wonderful service . Andrew was not an aggressive sales person and answered all of my questions .,4,
39,07-Dec-17,"Dale is wonderful and I was treated very respectfully at the dealership each of the 3 times I came in. However, I am very concerned about the car itself.",4,
99,13-Oct-17,I'm happy with my new Tucson :) Big thanks to Ron for being so friendly and making the car buying experience a pleasant one. The staff is doing a good job.,4,
167,24-Aug-17,"This was my first car. Jessica was very helpful, friendly, and patient with all my questions. She showed me several cars (and different colors on each car), until I found the one I like. She did not get annoyed when I asked her to check more cars. Overall, very nice and professional.  Ryan walked me through the details of the paperwork and finance, plus some extra service I could purchase, e.g., the extended warranty, which I did. He was friendly, efficient, accurate, and professional.  Overall, very nice and friendly staff.",4,
193,04-Aug-17,"When in search of trading in my vehicle, and found Hundai. After checking out a few models, i decided that the Sport Senata was the best option for me. Very pleased with their service, love my new vehicle.",4,
197,26-Jul-17,"Overall It was a good experience with Capitol Hyundai . Had to face some doubts with finance rates (was told a different finance rate and offered a different rate) . on the otherside , James and Ninous stayed late only to deliver the vehicle to me , i appreciate them for it.",4,
260,15-Jun-17,"I have had bad experience in Steven's Creek Hyundai dealership, but people at Capitol were more professional and friendly. I would definitely recommend them over Steven's Creek.",4,
301,26-May-17,"Staff were accommodating, professional, courteous and knowledgeable about their vehicles and and abundant amenities.  Prices seemed competitive and the sales processes was pressure free. I am happy with my purchase and would recommend Capitol Hyundai dealership.",4,
371,12-Apr-17,"During discussion she give good explanation . Knowledge of customer requirement . Good marketing skills . Good team work.good communication, good experience with the team .   Thanks for the help",4,
393,29-Mar-17,"James gave me great service during my purchase, and he tried to come up with better pricing, and I appreciate it. Great Service. very satisfied.",4,
449,03-Feb-17,I wish the sales person told me that the service for every Six-months should be taken since it would be cheaper as purchased in advance.,4,
467,13-Jan-17,"All the people were very nice. My negotiation went well and I signed paperwork and left. It was 5 days later I was told the financing wouldn't go through and to bring back the car. I then got a co-signer with a higher credit score. We went and signed the paperwork which I was told was the same deal. The new interest rate was higher but we signed anyway.  When I got home and looked at my new paperwork compared to the original, the price had changed by HUNDREDS of dollars. Now my new payment was higher because of a higher interest rate and more money financed. I felt taken advantage of, its NOT the same deal/price I had originally agreed to. It was a very dishonest way to add a few hundred dollars to your bottom line.",4,
468,12-Jan-17,Buying cars through the Costco auto program makes it very easy to buy. I have purchased all my cars through Costco and will continue to buy through them,4,
506,12-Dec-16,"I had a great experience with this dealership, most of the staff member were very helpful in the buying process and i highly recommend them in you are going for Hyundai car. They are offering great pricing during the holiday season",4,
522,02-Dec-16,We went home satisfied there really is nothing more I want to add we got the car we wanted at the price we wanted to pay,4,
543,17-Nov-16,"It was my 1st time lease and sales person did a excellent job to convince me to 1st time lease in both price / model selection. When lease ends, with such good service, I may lease again Hyundai",4,
555,10-Nov-16,Overall experience was pleasant.  One area needs improvement is cleanliness of the vehicle upon delivery.  There were many black dots  (bird drops) on the roof area.  Didn't discover it until I  I returned home to do some exterior cleaning of the SUV.,4,
623,16-Sep-16,it was good and turn around time was quick. Steven and tommy were friendly. It took an average of 3 hours to complete the whole process.,4,
647,08-Sep-16,"I'm very happy with my purchase, everything went well and I hope in the future to keep Capitol Hyundai as a great place to take my vehicle for any maintanance  or questions",4,
683,11-Aug-16,"I already stated what I felt and the pleasure I had dealing with you business. This part of the process is annoying since I am not interested in being a commercial as I detest commercials. If you were true to what your intentions seem to be, you would not be so crude in requesting the customer accomplish this task.",4,
732,15-Jul-16,The Staff at Capitol Hyundai were very understanding of the car I wanted. They went out of their way to get me my car that same day.,4,
735,14-Jul-16,I left my review in the next step. The car is having some vibration in the back and the guys at the service department are still investigating what the problem was. They promised yesterday to return the car today.,4,
796,30-May-16,"Satisfied customer, but with some concerns. Dealer needs extended service hours and more employees to be present when scheduled to work. The wait at the service department could be a drag. Appointments are too far in the future to meet customer vehicles needs. This is a big downfall with expectations of any kind of service. Too many people walking around during busy times.",4,
823,12-May-16,"I was very happy with what I got , the price was good and I do not need to go back and forward to get the right price",4,
953,30-Dec-15,Came in looking at a 2015 sonata and left with a 2016 instead due to strong communication of the upside of year end incentives. Loved the kbb information and how openly that was shared with the customer. ,4,
1036,09-Oct-15,With out the Xchange financing I would have never considered buying/leasing a Hyundai. But now That I am a Hyundai driver/owner I am happy with my purchase and the vehicle ; thanks to uber.,4,
66,16-Nov-17,I would recommend this dealership very professional and they really seem to try and give you the best deal possible overall a very good experience,4.2,
105,06-Oct-17,"great service, nice people working there who are open an honest! trying to help the people to find the right car and right price. great work!",4.2,
375,11-Apr-17,I came here with a vehicle in mind and got very fast service from the staffs. They all were very friendly besides the receptionist at the front desk. Everyone seemed very attentive and knowledgeable at their jobs.  Thumbs up for my overall experience at Capitol Hyundai.,4.2,
462,18-Jan-17,nice people and cars. Edward from the San Jose dealer ship was really great. i will go back and buy a car again... please see Edward for good service and purchase of a car... good job edward,4.2,
494,24-Dec-16,"Good dealership with good customer treatment,  seems guys follow point - 'Always close a deal'. Same time before coming I advice to be prepared for negotiation, what is pretty standard for such kind of deals.",4.2,
511,10-Dec-16,My second car purchased here and both experience have been great.  Everyone I have dealt made me feel like me and my needs matter.  I won't take my car anyplace else for service because I get amazing service every time.,4.2,
520,02-Dec-16,Ruben was very professional. The sales manager was also very helpful for getting us the right price . Rafaela Hondel at finance was also very nice and professional.,4.2,
541,18-Nov-16,"I would like to thank the dealership personnel at the customer services division for their excellent support. Your customer sale representative Mr. Ninous Chamaki took care of all my queries  professionally.  He also provided timely and helpful advice regarding the brand new Hyundai Santa Fe  I was purchased. He  let me know all the important information regarding the vehicle including its features,  technology package for SE Ultimate, adjustable  steering wheel and smart cruise control. I am a busy  logistics professional and I urgently required information regarding this  vehicle.  Mr. Chamaki was extremely attentive and he listened to all my concerns with a great deal of patience. He  also ensured that I received all the information regarding the scheduling a service appointment .    I was very thankful that  Mr. Chamaki  explained  the Bluetooth link functions to my family which will suit our needs best. He has a caring approach and he is a true professional. I would especially like to commend Mr. Chamaki for his professionalism",4.2,
698,04-Aug-16,Mr Drewes is very helpful during my purchase.  He is not pushes.  Very patience.  Always act professionally.  He keeps me inform of the car we are interesting in.   He even follow up after the purchase.,4.2,
704,31-Jul-16,AJ and Dale were excellent; their attitude exuded a desire to help me get a great deal (as well as Hyundai making a reasonable deal as well).,4.2,
708,28-Jul-16,"Does it really take 5+ hours to buy a new car?  I already met with the sales man 2 days prior, so they knew exactly which vehicle I wanted.  I came in and test drove the car, which took 25 minutes in total.  The other 4.5 hours was all paperwork.  I think this process can be expedited.",4.2,
715,21-Jul-16,"The sales team was friendly and helpful. They in fact were the reason I changed my mind about a different car brand because of their help and service (they didn't know I was considering a different car, though).  However, the make mistakes twice about the lease deal and I ended up getting a car ~9% above the negotiated and agreed on price. I was very unhappy about the issue. Hadn't it been for personal reasons and time, I would have walked away from this purchase.",4.2,
801,26-May-16,Like the car ..its my second hyundai ... my saleman is really gud nd freindlies..he knw wat he doing..i throw a couple of questions at him nd he quick to answer. I will surely recommend this to other people to,4.2,
834,07-May-16,"Excellent dealership, professional staff, ample inventory, very professional and considerate customer service. The vehicle we purchased was thoroughly detailed and very clean when it was delivered. Mr. Steven Yee, the sales staff who sold us the vehicle was extremely helpful in closing the purchase.",4.2,
908,04-Mar-16,Was a long day but in the end customer service  was excellent and very clear on terms love the atmosphere and my new bay it's doing a great job,4.2,
940,12-Jan-16,Everything was great except the finance problem that I spoke of before. Everybody was very helpful. I enjoyed my experience with Capitol Hyundai very much.,4.2,
1025,25-Oct-15,"Overall had a good experience and would go back, but the dealership did make a little mistake we drove the car we wanted and were told that the car came with Bluetooth but once we left I notice that the new car did not have Bluetooth...",4.2,
661,25-Aug-16,"I found the employees very knowledgeable and helpful. I went there with 50% chance of buying the car, however Adam heard our requirements and showed me the car which matched all my requirement and closed the deal the same day. Hyundai is highly feature rich car, I need to see how will it do in future, from the look of it it looks promising..",4.3,
126,22-Sep-17,Overall good experience and price except for the financing part.  Overall good experience and price except for the financing part.  Overall good experience and price except for the financing part.,4.4,
191,05-Aug-17,Was given the keys for a test drive without a rep from the dealership. Had to figure out functions on our own. Great car options. Felt dealership kept rebates for themselves.,4.4,
495,24-Dec-16,I had a pretty good experience at this dealership. my salesman casey was wilson was very nice and professional.  i just wish service would be faster i was there for almost 4 hours,4.4,
505,13-Dec-16,"My husband and I were looking for a great SUV in our budget and tried many other brands and companies. we never thought of Hyundai and were just passing your dealership on a Sunday evening and decided to take a look.  AJ greetings and showing us the excellent feature and introducing us to your other professional sales made us to think seriously to buy a Hyundai. AJ introduced us to Ninus, a professional and nice  Farsi speaking sales person; He was very helpful to us.  The vehicle was not in our criteria in terms of model, price, color, size,.., however they insisted us to test drive , we did and we loved it and are very happy for getting it.  I'm a sales person too and I learned how to help  buyers to find out what they need, desire and do the best practice to make it happen.  I thank you all your professional team.",4.4,
563,03-Nov-16,"Great and informative sales people, loved the test drive.  I think I got a great car for a fair price. Be careful of manipulative finance practices.",4.4,
610,29-Sep-16,I was able to lease an Elantra at a very affordable price with the help of the Capitol Mall employees. It was quick and easy and I would recommend this dealership to others.,4.4,
662,25-Aug-16,Excellent experience with Ninous!  He was wonderful and easy to work with . No sales pressure and he listened to our needs. He was very kind and made the purchase process great!,4.4,
790,03-Jun-16,I will definately be back! Customer service was outstanding. Thank you. My sales rep Elmira understood my needs and she represented hyundai- the best- outstanding! Workers that represent their companies shows how much its worth to purchase from your delaership. Value and pride!,4.4,
1004,17-Nov-15,"Up to the finance part great experience. We wanted to pay cash and did not want any additions, but we gave in regretfully. Is very painful and stressfull to undo, although it was presented to us that we can chanage our mind with no problem.We changed our mind the next day but is almost a month and the cancelation of the services is still not credited back...",4.4,
1027,22-Oct-15,Hopefully they keep helping people and goto ms T Reason she has very good customer service and respectful and caring.I had fun. I even told few parties to check u out ,4.4,
1054,24-Sep-15,Dale was very friendly and kind and patient. He answered every questions and demonstrated all the features in the car to me. I will come back.,4.4,
1086,20-Aug-15,Would recommend this dealership. Made my diet car purchase easy and helpful. The car details were explained to me. They also asked me what I was looking for and how much I was willing to spend. They informed me of all my options before I made a selection. ,4.4,
1092,17-Aug-15,I would recommend this Hyundai because the staff was friendly and not overly pushy when it came to testing out cars. I appreciated that especially since when I went to Hyundai Santa Clara I felt like they were rude and pushy about buying a car. The people here at Capitol Hill were the best to work with.,4.4,
1103,24-Jul-15,Service is great and staff is very helpful and accommodating. Will definitely recommend this dealership to all friends and family. They tried their best to give us the best deal.,4.4,
455,26-Jan-17,Very professional and efficient staff that addressed all of my questions.  I would work with them again.  I enjoyed the visit and would like to thank them for their help,4.5,
686,11-Aug-16,Prior to visiting Capitol Hyundai I  had researched the 2016 Tuscan Limited and decided on the vehicle that I wanted. I was able to get the one with all the equipment that I wanted.,4.5,
1061,20-Sep-15,"Friendly, not pushy, fair negotiations. It was a very comfortable environment. They had exactly the card I wanted. Great experience overall! Thank you for the car. ",4.5,
19,16-Dec-17,Everything went well but they did not set me up with first maintenance services. Dillon is so sweet he understand everything I need from a car and make sure I was happy with my phurshed. Ryan make sure all the deal was fair and funny Too .I will come back in future again,4.6,
70,10-Nov-17,Good overall experience. Good customer service lead to continuation of leasing a Genesis for another 3 years. Quicker separation of Genesis and Hyundai dealership is recommended for brand recognition.,4.6,
177,13-Aug-17,"I  love my Santa Fe and Eric was a great sales person who took good care of me.  My bad for buying a car on the last day of July with the July 4 incentives and a lot going on.  It was late and I had a lot of anxiety buying a vehicle by myself, but Eric and Jalil were amazing and got all my paperwork done ASAP.",4.6,
188,08-Aug-17,"I bought two cars in 2017 both from Dale Esters at this dealership.  It was easy, fast, and painless.  This review is mainly to rate Dale, not the dealership.  I did have a bad experience with another sales person, but went back when Dale was working and bought the car.  My son has bought a couple of cars from Dale as well.",4.6,
316,18-May-17,Eddie is a great sales person. He is well with product knowledge and a great team member makes the customer feel important and happy. He takes his time .,4.6,
390,30-Mar-17,"I'm a first time buyer. This was my first car purchase in my life and the experience was wonderful.  I was scared but I knew it was time to experience the obstacle in that everyone has experienced.   Overall: My experience was wonderful, exciting, and was shockingly fun.  I felt like everyone was trying to understand me and not pressure me into buying something I didn't want.   I would definitely recommend someone or even come back to buy another car~",4.6,
397,25-Mar-17,Great sales people. Great environment. Great managerial team. Made my day with how easy everything went. I would defiantly come back to buy another car.,4.6,
514,08-Dec-16,"Of course we always want to get things as cheap as possible.  Maybe it was poor timing or something, but I would have liked some additional incentives given that this was our 3rd Hyundai and second from this dealership.",4.6,
517,05-Dec-16,"THE FIRST VEHICLE DECIDED UPON WAS SOLD THE NIGHT BEFORE OUR VISIT.  THE CHOICE OF EXTERIOR COLORS WERE REDUCED TO BLACK, WHITE AND RED ONLY.  MY WIFE DID NOT LIKE THAT SELECTION BUT EVENTUALLY WE DID FIND ANOTHER VEHICLE IN AN EXTERIOR COLOR THAT SHE ACCEPTED.",4.6,
529,01-Dec-16,I received excellent and prompt service. AJ was wonderful at explaining features of vehicle and really focusing on what I wanted in a new car. He went into detail about features and best options. I left without confident I made the right selection. Jalil worked with me on financing portion and was extremely helpful. He answered all my questions and provided an overall great experience.,4.6,
537,20-Nov-16,Ninous was very helpful and had great knowledge of the car.  He was very polite and has great customer service experience.  I would recommend him anytime.,4.6,
564,03-Nov-16,"The Capital Genesis team were very professional throughout the entire car buying experience. Patient, professional, and thorough from start to finish. In a market where there exists a variety of buying choices, this dealership has my highest recommendation.",4.6,
601,06-Oct-16,"Warm and friendly personnel  They were willing to negotiate on the price to meet costumer expectation and budget limits as much as possible Overall, I recommend Capitol Hyundai",4.6,
629,16-Sep-16,Ryan was friendly and overall a pleasure to interact with. I love the car i was suggested and i would recommend to go to this dealership,4.6,
